latitude,longitude,mean_cloud_cover,median_cloud_cover,mode_cloud_cover,min_cloud_cover,max_cloud_cover
49.75,-127.75,0.6773,1.0,1.0,0.0,1.0
49.75,-127.25,0.7592999999999999,1.0,1.0,0.0,1.0
49.75,-126.75,0.7522,1.0,1.0,0.0,1.0
49.75,-126.25,0.80985,1.0,1.0,0.02,1.0
49.75,-125.75,0.8041,1.0,1.0,0.055,1.0
49.75,-125.25,0.74885,1.0,1.0,0.0,1.0
49.75,-124.75,0.6468,0.984,1.0,0.0,1.0
49.75,-124.25,0.6371,0.902,1.0,0.0,1.0
49.75,-123.75,0.77735,0.9295,0.8,0.197,1.0
49.75,-123.25,0.80745,0.986,1.0,0.146,1.0
49.75,-122.75,0.8539,0.994,1.0,0.138,1.0
49.75,-122.25,0.8669500000000001,0.992,1.0,0.193,1.0
49.75,-121.75,0.9393499999999999,1.0,1.0,0.307,1.0
49.75,-121.25,0.9233,0.9744999999999999,0.8,0.528,1.0
49.75,-120.75,0.7898499999999999,0.917,1.0,0.114,1.0
49.75,-120.25,0.8748000000000001,1.0,1.0,0.22,1.0
49.75,-119.75,0.7673000000000001,0.9035,1.0,0.031,1.0
49.75,-119.25,0.7253000000000001,0.909,1.0,0.024,1.0
49.75,-118.75,0.9098499999999999,0.992,1.0,0.177,1.0
49.75,-118.25,0.84405,0.9624999999999999,1.0,0.0,1.0
49.75,-117.75,0.8021499999999999,1.0,1.0,0.024,1.0
49.75,-117.25,0.8224499999999999,0.998,1.0,0.008,1.0
49.75,-116.75,0.7802999999999999,0.921,0.8,0.102,1.0
49.75,-116.25,0.8061999999999999,0.972,1.0,0.11,1.0
49.75,-115.75,0.65145,0.77,1.0,0.035,1.0
49.75,-115.25,0.78205,0.9565,1.0,0.083,1.0
49.75,-114.75,0.7254000000000002,0.9135,1.0,0.126,1.0
49.75,-114.25,0.7136,0.8405,1.0,0.087,1.0
49.75,-113.75,0.6842999999999999,0.813,0.8,0.0,1.0
49.75,-113.25,0.6992499999999999,0.9195,0.8,0.0,1.0
49.75,-112.75,0.70745,0.854,0.8,0.0,1.0
49.75,-112.25,0.7271500000000001,0.925,0.8,0.0,1.0
49.75,-111.75,0.5840000000000001,0.5865,1.0,0.0,1.0
49.75,-111.25,0.6441,0.7184999999999999,1.0,0.0,1.0
49.75,-110.75,0.65245,0.671,1.0,0.0,1.0
49.75,-110.25,0.6462499999999999,0.8600000000000001,1.0,0.0,1.0
49.75,-109.75,0.6271500000000001,0.809,1.0,0.0,1.0
49.75,-109.25,0.6258,0.742,1.0,0.0,1.0
49.75,-108.75,0.59115,0.754,0.0,0.0,1.0
49.75,-108.25,0.597,0.661,1.0,0.0,1.0
49.75,-107.75,0.5856499999999999,0.7064999999999999,0.0,0.0,1.0
49.75,-107.25,0.54715,0.6419999999999999,0.0,0.0,1.0
49.75,-106.75,0.5244,0.5335000000000001,0.0,0.0,1.0
49.75,-106.25,0.5665,0.6950000000000001,0.0,0.0,1.0
49.75,-105.75,0.6537000000000001,0.7050000000000001,1.0,0.004,1.0
49.75,-105.25,0.7531999999999999,0.9390000000000001,0.8,0.0,1.0
49.75,-104.75,0.4753,0.502,0.0,0.0,1.0
49.75,-104.25,0.47264999999999996,0.5075000000000001,0.0,0.0,1.0
49.75,-103.75,0.4726,0.5415,0.0,0.0,1.0
49.75,-103.25,0.53565,0.687,0.0,0.0,1.0
49.75,-102.75,0.70855,0.9390000000000001,0.8,0.0,1.0
49.75,-102.25,0.8813000000000001,0.994,1.0,0.0,1.0
49.75,-101.75,0.67405,0.9275,1.0,0.0,1.0
49.75,-101.25,0.7016,0.994,1.0,0.0,1.0
49.75,-100.75,0.63405,0.8345,1.0,0.0,1.0
49.75,-100.25,0.6597,0.833,1.0,0.0,1.0
49.75,-99.75,0.6797,0.878,1.0,0.0,1.0
49.75,-99.25,0.759,0.9744999999999999,0.8,0.0,1.0
49.75,-98.75,0.6484,0.7185,1.0,0.0,1.0
49.75,-98.25,0.6872,0.986,1.0,0.0,1.0
49.75,-97.75,0.7053,0.921,1.0,0.0,1.0
49.75,-97.25,0.7034999999999999,0.872,1.0,0.075,1.0
49.75,-96.75,0.70555,0.8425,1.0,0.0,1.0
49.75,-96.25,0.74745,0.953,1.0,0.0,1.0
49.75,-95.75,0.7740500000000001,0.904,0.8,0.0,1.0
49.75,-95.25,0.7281500000000001,0.9505,1.0,0.0,1.0
49.75,-94.75,0.7303000000000001,0.8445,1.0,0.012,1.0
49.75,-94.25,0.7657,0.9035,1.0,0.0,1.0
49.75,-93.75,0.761,1.0,1.0,0.031,1.0
49.75,-93.25,0.7837,1.0,1.0,0.043,1.0
49.75,-92.75,0.8008,0.992,1.0,0.043,1.0
49.75,-92.25,0.7364499999999999,0.986,1.0,0.028,1.0
49.75,-91.75,0.8019999999999999,1.0,1.0,0.02,1.0
49.75,-91.25,0.7311500000000001,0.9490000000000001,1.0,0.012,1.0
49.75,-90.75,0.7039500000000001,0.9724999999999999,1.0,0.0,1.0
49.75,-90.25,0.63485,0.681,1.0,0.0,1.0
49.75,-89.75,0.73305,0.984,1.0,0.0,1.0
49.75,-89.25,0.78305,0.819,1.0,0.031,1.0
49.75,-88.75,0.5713,0.63,1.0,0.0,1.0
49.75,-88.25,0.526,0.6375,0.0,0.0,1.0
49.75,-87.75,0.7565000000000001,0.8485,1.0,0.008,1.0
49.75,-87.25,0.75295,0.9510000000000001,1.0,0.008,1.0
49.75,-86.75,0.7512,0.9525,1.0,0.0,1.0
49.75,-86.25,0.8134,0.9764999999999999,1.0,0.008,1.0
49.75,-85.75,0.7121999999999999,0.9135,1.0,0.031,1.0
49.75,-85.25,0.7575000000000001,0.8385,1.0,0.0,1.0
49.75,-84.75,0.7741999999999999,1.0,1.0,0.0,1.0
49.75,-84.25,0.8265500000000001,1.0,1.0,0.0,1.0
49.75,-83.75,0.84385,1.0,1.0,0.083,1.0
49.75,-83.25,0.8359499999999999,1.0,1.0,0.012,1.0
49.75,-82.75,0.7968,1.0,1.0,0.0,1.0
49.75,-82.25,0.8398,1.0,1.0,0.0,1.0
49.75,-81.75,0.7657999999999999,0.9155,1.0,0.016,1.0
49.75,-81.25,0.7927500000000001,1.0,1.0,0.028,1.0
49.75,-80.75,0.7123499999999999,0.9095,1.0,0.0,1.0
49.75,-80.25,0.72935,0.9645,1.0,0.02,1.0
49.75,-79.75,0.7689,1.0,1.0,0.0,1.0
49.75,-79.25,0.6820999999999999,0.998,1.0,0.0,1.0
49.75,-78.75,0.7171500000000001,1.0,1.0,0.0,1.0
49.75,-78.25,0.7706999999999999,0.9744999999999999,1.0,0.0,1.0
49.75,-77.75,0.7563,1.0,1.0,0.035,1.0
49.75,-77.25,0.8097,1.0,1.0,0.165,1.0
49.75,-76.75,0.78105,1.0,1.0,0.012,1.0
49.75,-76.25,0.80535,1.0,1.0,0.0,1.0
49.75,-75.75,0.7984500000000001,1.0,1.0,0.0,1.0
49.75,-75.25,0.81125,1.0,1.0,0.0,1.0
49.75,-74.75,0.8491500000000001,1.0,1.0,0.004,1.0
49.75,-74.25,0.8122,1.0,1.0,0.02,1.0
49.75,-73.75,0.7941,1.0,1.0,0.0,1.0
