latitude,longitude,mean_cloud_cover,median_cloud_cover,mode_cloud_cover,min_cloud_cover,max_cloud_cover
49.75,-127.75,0.6391818181818182,1.0,1.0,0.0,1.0
49.75,-127.25,0.7105454545454545,1.0,1.0,0.0,1.0
49.75,-126.75,0.7266363636363636,0.965,1.0,0.0,1.0
49.75,-126.25,0.8153636363636363,1.0,1.0,0.142,1.0
49.75,-125.75,0.8073636363636364,1.0,1.0,0.055,1.0
49.75,-125.25,0.692909090909091,0.846,1.0,0.0,1.0
49.75,-124.75,0.5714545454545454,0.85,0.0,0.0,1.0
49.75,-124.25,0.6071818181818182,0.709,1.0,0.028,1.0
49.75,-123.75,0.811,0.965,0.8,0.197,1.0
49.75,-123.25,0.8270000000000001,0.988,0.8,0.287,1.0
49.75,-122.75,0.9265454545454546,0.988,1.0,0.61,1.0
49.75,-122.25,0.9338181818181819,0.996,1.0,0.677,1.0
49.75,-121.75,0.9573636363636364,1.0,1.0,0.807,1.0
49.75,-121.25,0.8963636363636365,0.965,0.8,0.528,1.0
49.75,-120.75,0.7571818181818183,0.85,0.8,0.366,1.0
49.75,-120.25,0.8357272727272727,0.949,1.0,0.22,1.0
49.75,-119.75,0.831090909090909,0.898,0.8,0.48,1.0
49.75,-119.25,0.7669090909090911,0.984,1.0,0.024,1.0
49.75,-118.75,0.9338181818181819,1.0,1.0,0.744,1.0
49.75,-118.25,0.9083636363636363,0.949,0.8,0.476,1.0
49.75,-117.75,0.9176363636363636,1.0,1.0,0.295,1.0
49.75,-117.25,0.9495454545454546,1.0,1.0,0.492,1.0
49.75,-116.75,0.8671818181818182,0.945,0.8,0.193,1.0
49.75,-116.25,0.8824545454545455,0.972,1.0,0.417,1.0
49.75,-115.75,0.6375454545454545,0.579,0.4,0.181,1.0
49.75,-115.25,0.8342727272727273,0.917,0.8,0.224,1.0
49.75,-114.75,0.8031818181818182,0.925,1.0,0.299,1.0
49.75,-114.25,0.6997272727272726,0.823,1.0,0.087,1.0
49.75,-113.75,0.6002727272727273,0.744,0.0,0.0,1.0
49.75,-113.25,0.6808181818181819,0.87,0.2,0.008,1.0
49.75,-112.75,0.6650909090909091,0.843,0.8,0.0,1.0
49.75,-112.25,0.6968181818181819,0.886,0.8,0.0,1.0
