latitude,longitude,mean_cloud_cover,median_cloud_cover,mode_cloud_cover,min_cloud_cover,max_cloud_cover
49.75,-127.75,0.7597499999999999,0.7815,0.4,0.476,1.0
49.75,-127.25,0.8425,1.0,1.0,0.37,1.0
49.75,-126.75,0.751,1.0,1.0,0.004,1.0
49.75,-126.25,0.755,1.0,1.0,0.02,1.0
49.75,-125.75,0.819,1.0,1.0,0.276,1.0
49.75,-125.25,0.7875,1.0,1.0,0.15,1.0
49.75,-124.75,0.75,1.0,1.0,0.0,1.0
49.75,-124.25,0.75,1.0,1.0,0.0,1.0
49.75,-123.75,0.7815000000000001,0.9470000000000001,1.0,0.232,1.0
49.75,-123.25,0.7315,0.89,1.0,0.146,1.0
49.75,-122.75,0.7845,1.0,1.0,0.138,1.0
49.75,-122.25,0.73225,0.868,1.0,0.193,1.0
49.75,-121.75,0.98725,1.0,1.0,0.949,1.0
49.75,-121.25,0.9595,0.9625,0.8,0.913,1.0
49.75,-120.75,0.6809999999999999,0.8049999999999999,1.0,0.114,1.0
49.75,-120.25,0.8354999999999999,0.9625,1.0,0.417,1.0
49.75,-119.75,0.5855,0.6555,1.0,0.031,1.0
49.75,-119.25,0.498,0.4545,0.0,0.083,1.0
49.75,-118.75,0.76675,0.9450000000000001,0.8,0.177,1.0
49.75,-118.25,0.555,0.61,1.0,0.0,1.0
49.75,-117.75,0.60125,0.618,1.0,0.169,1.0
49.75,-117.25,0.51675,0.5295,0.0,0.008,1.0
49.75,-116.75,0.5737500000000001,0.5965,0.0,0.102,1.0
49.75,-116.25,0.5934999999999999,0.622,1.0,0.13,1.0
49.75,-115.75,0.49999999999999994,0.504,0.0,0.035,0.957
49.75,-115.25,0.6072500000000001,0.673,1.0,0.083,1.0
49.75,-114.75,0.57675,0.5805,0.0,0.146,1.0
49.75,-114.25,0.697,0.819,0.0,0.15,1.0
49.75,-113.75,0.6555,0.8109999999999999,0.0,0.0,1.0
49.75,-113.25,0.499,0.498,0.0,0.0,1.0
49.75,-112.75,0.6819999999999999,0.864,1.0,0.0,1.0
49.75,-112.25,0.6555,0.8109999999999999,1.0,0.0,1.0
49.75,-111.75,0.25875000000000004,0.177,0.0,0.0,0.681
49.75,-111.25,0.738,0.921,0.8,0.11,1.0
49.75,-110.75,0.5275,0.5549999999999999,0.4,0.0,1.0
49.75,-110.25,0.1635,0.065,0.0,0.0,0.524
49.75,-109.75,0.2175,0.1535,0.0,0.0,0.563
49.75,-109.25,0.1645,0.1595,0.0,0.0,0.339
49.75,-108.75,0.2825,0.2445,0.0,0.047,0.594
49.75,-108.25,0.45375,0.34650000000000003,0.0,0.13,0.992
49.75,-107.75,0.60225,0.7044999999999999,0.6000000000000001,0.0,1.0
49.75,-107.25,0.7982499999999999,0.862,0.4,0.469,1.0
49.75,-106.75,0.8305,0.8915,0.8,0.539,1.0
49.75,-106.25,0.881,0.935,0.8,0.654,1.0
49.75,-105.75,0.9015,0.925,0.8,0.764,0.992
49.75,-105.25,0.8504999999999999,0.8819999999999999,0.8,0.681,0.957
49.75,-104.75,0.47924999999999995,0.565,0.6000000000000001,0.055,0.732
