latitude,longitude,cloud_cover
64.25,-78.75,0.362
64.25,-78.25,0.583
64.25,-77.75,0.681
64.25,-77.25,0.587
64.25,-76.75,0.551
64.25,-76.25,0.484
64.25,-75.75,0.622
64.25,-75.25,0.618
64.25,-74.75,0.720
64.25,-74.25,0.748
64.25,-73.75,0.709
64.25,-73.25,0.760
64.25,-72.75,0.760
63.75,-79.25,0.555
63.75,-78.75,0.500
63.75,-78.25,0.539
63.75,-77.75,0.657
63.75,-77.25,0.646
63.75,-76.75,0.787
63.75,-76.25,0.921
63.75,-75.75,0.925
63.75,-75.25,0.921
63.75,-74.75,0.799
63.75,-74.25,0.795
63.75,-73.75,0.886
63.75,-73.25,0.909
63.75,-72.75,0.819
63.75,-72.25,0.752
63.75,-71.75,0.748
63.25,-79.75,0.524
63.25,-79.25,0.488
63.25,-78.75,0.547
63.25,-78.25,0.630
63.25,-77.75,0.618
63.25,-77.25,0.760
63.25,-76.75,0.720
63.25,-76.25,0.803
63.25,-75.75,0.839
63.25,-75.25,0.862
63.25,-74.75,0.866
63.25,-74.25,0.941
63.25,-73.75,0.846
63.25,-73.25,0.780
63.25,-72.75,0.827
63.25,-72.25,0.854
63.25,-71.75,0.791
63.25,-71.25,0.787
63.25,-70.75,0.736
62.75,-79.75,0.528
62.75,-79.25,0.524
62.75,-78.75,0.551
62.75,-78.25,0.622
62.75,-77.75,0.539
62.75,-77.25,0.626
62.75,-76.75,0.744
62.75,-76.25,0.736
62.75,-75.75,0.823
62.75,-75.25,0.831
62.75,-74.75,0.839
62.75,-74.25,0.823
62.75,-73.75,0.854
62.75,-73.25,0.835
62.75,-72.75,0.776
62.75,-72.25,0.764
62.75,-71.75,0.705
62.75,-71.25,0.799
62.75,-70.75,0.677
62.75,-70.25,0.630
62.75,-69.75,0.630
62.75,-69.25,0.579
62.75,-68.75,0.563
62.25,-79.75,0.528
62.25,-79.25,0.705
62.25,-78.75,0.606
62.25,-78.25,0.634
62.25,-77.75,0.539
62.25,-77.25,0.445
62.25,-76.75,0.480
62.25,-76.25,0.693
62.25,-75.75,0.819
62.25,-75.25,0.839
62.25,-74.75,0.815
62.25,-74.25,0.846
62.25,-73.75,0.925
62.25,-73.25,0.780
62.25,-72.75,0.748
62.25,-72.25,0.764
62.25,-71.75,0.772
62.25,-71.25,0.697
62.25,-70.75,0.748
62.25,-70.25,0.831
62.25,-69.75,0.567
62.25,-69.25,0.646
62.25,-68.75,0.760
62.25,-68.25,0.559
62.25,-67.75,0.575
62.25,-67.25,0.606
62.25,-65.75,0.583
62.25,-65.25,0.634
62.25,-64.75,0.724
62.25,-64.25,0.862
62.25,-63.75,0.579
61.75,-79.75,0.484
61.75,-79.25,0.425
61.75,-78.75,0.531
61.75,-78.25,0.610
61.75,-77.75,0.417
61.75,-77.25,0.386
61.75,-76.75,0.402
61.75,-76.25,0.437
61.75,-75.75,0.539
61.75,-75.25,0.610
61.75,-74.75,0.622
61.75,-74.25,0.705
61.75,-73.75,0.665
61.75,-73.25,0.598
61.75,-72.75,0.634
61.75,-72.25,0.646
61.75,-71.75,0.783
61.75,-71.25,0.783
61.75,-70.75,0.783
61.75,-70.25,0.756
61.75,-69.75,0.736
61.75,-69.25,0.642
61.75,-68.75,0.547
61.75,-68.25,0.547
61.75,-67.75,0.740
61.75,-67.25,0.693
61.75,-66.75,0.780
61.75,-66.25,0.819
61.75,-65.75,0.732
61.75,-65.25,0.807
61.75,-64.75,0.827
61.75,-64.25,0.886
61.75,-63.75,0.756
61.75,-63.25,0.665
61.25,-79.75,0.539
61.25,-79.25,0.421
61.25,-78.75,0.512
61.25,-78.25,0.500
61.25,-77.75,0.555
61.25,-77.25,0.531
61.25,-76.75,0.579
61.25,-76.25,0.528
61.25,-75.75,0.504
61.25,-75.25,0.567
61.25,-74.75,0.634
61.25,-74.25,0.638
61.25,-73.75,0.567
61.25,-73.25,0.559
61.25,-72.75,0.500
61.25,-72.25,0.496
61.25,-71.75,0.583
61.25,-71.25,0.866
61.25,-70.75,0.795
