latitude,longitude,mean_cloud_cover,median_cloud_cover,mode_cloud_cover,min_cloud_cover,max_cloud_cover,inside_us
53.75,-56.25,0.7415,0.746,0.6000000000000001,0.469,0.941,True
53.75,-55.75,0.75245,0.7444999999999999,0.6000000000000001,0.555,1.0,True
53.75,-55.25,0.7793,0.766,0.6000000000000001,0.413,1.0,True
53.75,-54.75,0.7615,0.758,0.8,0.484,1.0,True
53.25,-57.25,0.7795500000000001,0.78,0.6000000000000001,0.476,1.0,True
53.25,-56.75,0.786,0.774,0.6000000000000001,0.575,1.0,True
53.25,-56.25,0.7878499999999999,0.884,0.8,0.531,1.0,True
53.25,-55.75,0.7773999999999999,0.793,0.8,0.555,0.984,True
53.25,-55.25,0.7559,0.799,0.8,0.441,0.996,True
53.25,-54.75,0.7612000000000001,0.795,0.6000000000000001,0.437,1.0,True
53.25,-54.25,0.768,0.801,0.8,0.516,0.969,True
53.25,-53.75,0.8082499999999999,0.805,0.8,0.524,0.996,True
52.75,-57.75,0.7777000000000001,0.7795000000000001,0.6000000000000001,0.358,0.98,True
52.75,-57.25,0.78875,0.7715000000000001,0.6000000000000001,0.437,1.0,True
52.75,-56.75,0.7433,0.744,0.6000000000000001,0.413,1.0,True
52.75,-56.25,0.78065,0.8015,0.8,0.52,0.996,True
52.75,-55.75,0.76895,0.738,0.6000000000000001,0.539,0.965,True
52.75,-55.25,0.7495499999999999,0.778,0.8,0.5,0.921,True
52.75,-54.75,0.75195,0.77,0.8,0.472,1.0,True
52.75,-54.25,0.7816000000000001,0.8049999999999999,0.6000000000000001,0.583,1.0,True
52.75,-53.75,0.7976000000000001,0.8325,0.8,0.492,1.0,True
52.25,-58.25,0.7492,0.776,0.6000000000000001,0.362,1.0,True
52.25,-57.75,0.75255,0.7755000000000001,0.8,0.469,0.984,True
52.25,-57.25,0.7152,0.7144999999999999,0.4,0.476,0.972,True
52.25,-56.75,0.7781499999999999,0.817,0.8,0.516,0.984,True
52.25,-56.25,0.76675,0.8009999999999999,0.8,0.472,0.961,True
52.25,-55.75,0.81105,0.811,0.8,0.598,0.953,True
52.25,-55.25,0.7366,0.7184999999999999,0.6000000000000001,0.445,1.0,True
52.25,-54.75,0.75885,0.746,0.6000000000000001,0.5,1.0,True
52.25,-54.25,0.77095,0.746,0.6000000000000001,0.382,1.0,True
52.25,-53.75,0.8106500000000001,0.815,0.8,0.496,1.0,True
51.75,-64.75,0.7133999999999999,0.6990000000000001,0.8,0.283,0.953,True
51.75,-64.25,0.75565,0.754,0.6000000000000001,0.394,0.996,True
51.75,-63.75,0.6982999999999999,0.713,0.6000000000000001,0.303,0.902,True
51.75,-63.25,0.79385,0.8049999999999999,0.8,0.457,0.969,True
51.75,-58.75,0.8098000000000001,0.8305,0.8,0.551,0.992,True
51.75,-58.25,0.8463,0.866,0.8,0.63,1.0,True
51.75,-57.75,0.86,0.8955,0.8,0.673,1.0,True
51.75,-57.25,0.7421500000000001,0.7775000000000001,0.4,0.429,1.0,True
51.75,-56.75,0.7263,0.7224999999999999,0.4,0.48,1.0,True
51.75,-56.25,0.77315,0.7735000000000001,0.6000000000000001,0.488,1.0,True
51.75,-55.75,0.7578500000000001,0.75,0.6000000000000001,0.417,1.0,True
51.75,-55.25,0.77115,0.791,0.6000000000000001,0.421,0.996,True
51.75,-54.75,0.75255,0.736,0.6000000000000001,0.272,1.0,True
51.75,-54.25,0.77115,0.728,0.6000000000000001,0.579,1.0,True
51.75,-53.75,0.7844,0.768,0.6000000000000001,0.539,1.0,True
51.25,-95.75,0.7496500000000001,0.7775000000000001,0.8,0.386,0.976,True
51.25,-95.25,0.79445,0.7895000000000001,0.6000000000000001,0.571,0.988,True
51.25,-94.75,0.77345,0.799,0.8,0.571,0.957,True
51.25,-65.75,0.7558,0.764,0.8,0.35,1.0,True
51.25,-65.25,0.7697999999999999,0.821,0.8,0.307,1.0,True
51.25,-64.75,0.83485,0.86,0.8,0.488,0.996,True
51.25,-64.25,0.7699499999999999,0.7915,0.8,0.35,1.0,True
51.25,-63.75,0.7948999999999999,0.821,0.8,0.457,0.98,True
51.25,-63.25,0.7739999999999999,0.7695000000000001,0.6000000000000001,0.457,1.0,True
51.25,-62.75,0.75745,0.73,0.6000000000000001,0.382,0.996,True
51.25,-62.25,0.7912000000000001,0.799,0.8,0.583,0.996,True
51.25,-61.75,0.8152999999999999,0.817,0.8,0.594,0.98,True
51.25,-59.25,0.78055,0.77,0.6000000000000001,0.555,1.0,True
51.25,-58.75,0.7482,0.752,0.8,0.413,1.0,True
51.25,-58.25,0.7472000000000001,0.762,0.6000000000000001,0.386,0.98,True
51.25,-57.75,0.7705,0.7835000000000001,0.6000000000000001,0.528,1.0,True
51.25,-57.25,0.7441,0.7735000000000001,0.6000000000000001,0.398,0.98,True
51.25,-56.75,0.7499499999999999,0.7815,0.8,0.433,0.996,True
51.25,-56.25,0.7212,0.709,0.6000000000000001,0.421,0.988,True
51.25,-55.75,0.7583500000000001,0.736,0.6000000000000001,0.555,1.0,True
51.25,-55.25,0.7875000000000002,0.8049999999999999,0.8,0.516,0.996,True
51.25,-54.75,0.75965,0.7715000000000001,0.8,0.437,1.0,True
51.25,-54.25,0.8008000000000001,0.776,0.6000000000000001,0.465,1.0,True
51.25,-53.75,0.8243499999999999,0.8585,0.8,0.52,1.0,True
51.25,-53.25,0.80435,0.813,0.8,0.579,1.0,True
51.25,-52.75,0.7742,0.799,0.8,0.409,0.961,True
50.75,-123.75,0.7233,0.7264999999999999,0.8,0.441,0.925,True
50.75,-123.25,0.7781,0.8425,0.8,0.52,1.0,True
50.75,-122.75,0.7905000000000001,0.8485,0.8,0.476,0.996,True
50.75,-122.25,0.8451500000000001,0.8855,0.8,0.618,0.996,True
50.75,-121.75,0.7172499999999999,0.7104999999999999,0.8,0.382,0.969,True
50.75,-121.25,0.7501,0.7755000000000001,0.6000000000000001,0.303,0.972,True
50.75,-120.75,0.7262500000000001,0.7995,0.8,0.26,0.957,True
50.75,-120.25,0.7314499999999999,0.7895000000000001,0.8,0.311,0.996,True
50.75,-119.75,0.8204500000000001,0.868,0.8,0.512,0.965,True
50.75,-119.25,0.752,0.7915,0.8,0.417,0.972,True
