latitude,longitude,mean_cloud_cover,median_cloud_cover,mode_cloud_cover,min_cloud_cover,max_cloud_cover
64.25,-78.75,0.540,0.555,3,0.437,0.614
64.25,-78.25,0.680,0.667,3,0.535,0.850
64.25,-77.75,0.693,0.695,3,0.508,0.874
64.25,-77.25,0.672,0.699,3,0.563,0.728
64.25,-76.75,0.637,0.583,3,0.480,0.902
64.25,-76.25,0.653,0.630,3,0.480,0.870
64.25,-75.75,0.658,0.681,3,0.547,0.720
64.25,-75.25,0.611,0.594,3,0.472,0.783
64.25,-74.75,0.665,0.669,3,0.469,0.854
64.25,-74.25,0.673,0.689,3,0.583,0.732
64.25,-73.75,0.614,0.610,3,0.528,0.709
64.25,-73.25,0.634,0.628,3,0.543,0.736
64.25,-72.75,0.651,0.669,3,0.539,0.728
63.75,-79.25,0.539,0.563,3,0.382,0.650
63.75,-78.75,0.528,0.514,3,0.398,0.685
63.75,-78.25,0.625,0.642,3,0.488,0.728
63.75,-77.75,0.707,0.691,3,0.654,0.791
63.75,-77.25,0.726,0.720,3,0.701,0.764
63.75,-76.75,0.741,0.758,3,0.681,0.768
63.75,-76.25,0.762,0.732,3,0.681,0.902
63.75,-75.75,0.808,0.793,3,0.713,0.933
63.75,-75.25,0.800,0.789,3,0.705,0.917
63.75,-74.75,0.763,0.817,3,0.508,0.909
63.75,-74.25,0.801,0.811,3,0.650,0.933
63.75,-73.75,0.732,0.742,3,0.626,0.819
63.75,-73.25,0.698,0.685,3,0.634,0.787
63.75,-72.75,0.654,0.606,3,0.504,0.898
63.75,-72.25,0.666,0.693,3,0.524,0.756
63.75,-71.75,0.658,0.677,3,0.484,0.795
63.25,-79.75,0.607,0.622,3,0.516,0.669
63.25,-79.25,0.584,0.602,3,0.433,0.697
63.25,-78.75,0.577,0.593,3,0.394,0.728
63.25,-78.25,0.706,0.701,3,0.610,0.811
63.25,-77.75,0.750,0.774,3,0.650,0.803
63.25,-77.25,0.647,0.653,3,0.579,0.701
63.25,-76.75,0.723,0.714,3,0.630,0.835
63.25,-76.25,0.753,0.776,3,0.646,0.815
63.25,-75.75,0.773,0.781,3,0.713,0.815
63.25,-75.25,0.757,0.724,3,0.685,0.894
63.25,-74.75,0.742,0.736,3,0.661,0.835
63.25,-74.25,0.704,0.679,3,0.634,0.823
63.25,-73.75,0.775,0.788,3,0.618,0.906
63.25,-73.25,0.693,0.675,3,0.512,0.909
63.25,-72.75,0.629,0.614,3,0.441,0.846
63.25,-72.25,0.662,0.705,3,0.386,0.854
63.25,-71.75,0.678,0.679,3,0.496,0.858
63.25,-71.25,0.636,0.606,3,0.421,0.909
63.25,-70.75,0.629,0.594,2,0.413,0.913
62.75,-79.75,0.553,0.541,3,0.413,0.717
62.75,-79.25,0.578,0.563,3,0.492,0.693
62.75,-78.75,0.535,0.549,3,0.465,0.579
62.75,-78.25,0.627,0.634,3,0.469,0.772
62.75,-77.75,0.651,0.646,3,0.543,0.768
62.75,-77.25,0.636,0.636,3,0.563,0.709
62.75,-76.75,0.688,0.691,3,0.650,0.720
62.75,-76.25,0.688,0.693,3,0.606,0.760
62.75,-75.75,0.676,0.681,3,0.563,0.780
62.75,-75.25,0.698,0.732,3,0.559,0.768
62.75,-74.75,0.651,0.681,3,0.512,0.728
62.75,-74.25,0.624,0.634,3,0.465,0.764
62.75,-73.75,0.649,0.634,2,0.465,0.862
62.75,-73.25,0.676,0.659,2,0.461,0.925
62.75,-72.75,0.608,0.683,3,0.280,0.787
62.75,-72.25,0.628,0.711,3,0.283,0.807
62.75,-71.75,0.660,0.756,3,0.287,0.839
62.75,-71.25,0.692,0.768,3,0.354,0.878
62.75,-70.75,0.607,0.610,2,0.370,0.839
62.75,-70.25,0.574,0.577,2,0.370,0.772
62.75,-69.75,0.538,0.528,2,0.354,0.744
62.75,-69.25,0.530,0.543,2,0.299,0.736
62.75,-68.75,0.559,0.567,2,0.315,0.787
62.25,-79.75,0.667,0.667,3,0.579,0.756
62.25,-79.25,0.593,0.606,3,0.457,0.705
62.25,-78.75,0.529,0.577,3,0.346,0.618
62.25,-78.25,0.660,0.734,3,0.402,0.772
62.25,-77.75,0.731,0.709,3,0.614,0.894
62.25,-77.25,0.713,0.724,3,0.535,0.866
62.25,-76.75,0.733,0.752,3,0.555,0.874
62.25,-76.25,0.801,0.791,3,0.713,0.909
62.25,-75.75,0.749,0.768,3,0.602,0.858
62.25,-75.25,0.724,0.709,3,0.591,0.890
62.25,-74.75,0.680,0.661,3,0.528,0.870
62.25,-74.25,0.699,0.687,3,0.610,0.811
62.25,-73.75,0.767,0.776,3,0.673,0.843
62.25,-73.25,0.630,0.660,3,0.480,0.720
62.25,-72.75,0.629,0.667,3,0.374,0.807
62.25,-72.25,0.580,0.622,2,0.307,0.768
62.25,-71.75,0.577,0.618,3,0.276,0.795
62.25,-71.25,0.660,0.736,3,0.382,0.787
62.25,-70.75,0.707,0.809,3,0.327,0.882
62.25,-70.25,0.699,0.791,3,0.366,0.846
62.25,-69.75,0.712,0.766,3,0.394,0.921
62.25,-69.25,0.691,0.766,3,0.350,0.882
62.25,-68.75,0.568,0.591,2,0.335,0.756
62.25,-68.25,0.513,0.490,2,0.323,0.748
62.25,-67.75,0.556,0.551,3,0.378,0.744
62.25,-67.25,0.560,0.561,3,0.378,0.740
62.25,-65.75,0.602,0.740,3,0.130,0.799
62.25,-65.25,0.660,0.760,3,0.295,0.823
62.25,-64.75,0.693,0.781,3,0.417,0.791
62.25,-64.25,0.632,0.634,3,0.476,0.783
62.25,-63.75,0.589,0.571,2,0.370,0.846
61.75,-79.75,0.665,0.604,3,0.524,0.929
61.75,-79.25,0.541,0.551,3,0.327,0.736
61.75,-78.75,0.560,0.585,3,0.323,0.748
61.75,-78.25,0.630,0.630,3,0.488,0.772
61.75,-77.75,0.566,0.575,2,0.307,0.807
61.75,-77.25,0.620,0.630,2,0.437,0.783
61.75,-76.75,0.620,0.616,3,0.449,0.799
61.75,-76.25,0.640,0.636,3,0.465,0.823
61.75,-75.75,0.642,0.624,3,0.429,0.890
61.75,-75.25,0.618,0.610,3,0.409,0.843
61.75,-74.75,0.662,0.673,3,0.488,0.815
61.75,-74.25,0.715,0.707,3,0.543,0.906
61.75,-73.75,0.654,0.640,3,0.524,0.815
61.75,-73.25,0.683,0.671,3,0.504,0.886
61.75,-72.75,0.608,0.642,3,0.335,0.815
61.75,-72.25,0.611,0.693,3,0.260,0.799
61.75,-71.75,0.601,0.606,3,0.449,0.744
61.75,-71.25,0.556,0.604,3,0.193,0.823
61.75,-70.75,0.575,0.628,3,0.228,0.815
61.75,-70.25,0.652,0.683,3,0.327,0.913
61.75,-69.75,0.667,0.722,3,0.276,0.949
61.75,-69.25,0.723,0.764,3,0.425,0.937
61.75,-68.75,0.757,0.796,3,0.476,0.961
61.75,-68.25,0.710,0.729,3,0.437,0.945
61.75,-67.75,0.683,0.644,3,0.500,0.945
61.75,-67.25,0.655,0.628,3,0.449,0.913
61.75,-66.75,0.688,0.691,3,0.492,0.878
61.75,-66.25,0.688,0.671,3,0.587,0.823
61.75,-65.75,0.704,0.693,3,0.669,0.760
61.75,-65.25,0.675,0.679,3,0.622,0.720
61.75,-64.75,0.637,0.618,3,0.559,0.752
61.75,-64.25,0.547,0.506,2,0.421,0.756
61.75,-63.75,0.552,0.510,2,0.421,0.768
61.75,-63.25,0.608,0.567,3,0.461,0.839
61.25,-79.75,0.553,0.467,2,0.362,0.917
61.25,-79.25,0.520,0.421,2,0.366,0.870
61.25,-78.75,0.548,0.490,2,0.390,0.823
61.25,-78.25,0.540,0.530,2,0.272,0.831
61.25,-77.75,0.537,0.547,2,0.272,0.780
61.25,-77.25,0.558,0.551,2,0.358,0.772
61.25,-76.75,0.610,0.604,2,0.402,0.831
61.25,-76.25,0.605,0.567,2,0.417,0.870
61.25,-75.75,0.573,0.583,2,0.350,0.776
61.25,-75.25,0.592,0.608,2,0.421,0.732
61.25,-74.75,0.579,0.589,2,0.386,0.752
61.25,-74.25,0.571,0.559,2,0.366,0.799
61.25,-73.75,0.582,0.563,2,0.402,0.799
61.25,-73.25,0.539,0.543,2,0.346,0.724
61.25,-72.75,0.498,0.486,2,0.315,0.705
61.25,-72.25,0.603,0.616,2,0.374,0.807
61.25,-71.75,0.642,0.673,3,0.445,0.776
61.25,-71.25,0.585,0.557,2,0.437,0.787
61.25,-70.75,0.583,0.596,3,0.335,0.803
61.25,-70.25,0.614,0.640,3,0.276,0.902
61.25,-69.75,0.547,0.567,3,0.303,0.752
61.25,-69.25,0.502,0.470,2,0.260,0.807
61.25,-68.75,0.610,0.663,3,0.283,0.831
61.25,-68.25,0.671,0.719,3,0.366,0.882
61.25,-67.75,0.655,0.736,3,0.268,0.878
61.25,-67.25,0.710,0.770,4,0.370,0.929
61.25,-66.75,0.670,0.720,3,0.382,0.858
61.25,-66.25,0.748,0.774,3,0.551,0.894
61.25,-65.75,0.763,0.750,3,0.705,0.846
61.25,-65.25,0.798,0.780,3,0.732,0.902
61.25,-64.75,0.832,0.843,3,0.768,0.874
61.25,-64.25,0.717,0.709,3,0.650,0.803
61.25,-63.75,0.744,0.732,3,0.610,0.902
61.25,-63.25,0.729,0.728,3,0.646,0.815
61.25,-62.75,0.711,0.715,3,0.598,0.815
60.75,-79.75,0.490,0.402,2,0.323,0.835
60.75,-79.25,0.521,0.433,2,0.374,0.843
60.75,-78.75,0.506,0.429,2,0.354,0.811
60.75,-78.25,0.592,0.571,2,0.394,0.831
60.75,-77.75,0.565,0.590,2,0.260,0.819
60.75,-77.25,0.510,0.520,3,0.236,0.764
60.75,-76.75,0.533,0.543,3,0.224,0.819
60.75,-76.25,0.541,0.559,2,0.295,0.752
60.75,-75.75,0.535,0.561,3,0.224,0.795
60.75,-75.25,0.579,0.602,2,0.295,0.815
60.75,-74.75,0.550,0.585,2,0.287,0.744
60.75,-74.25,0.549,0.537,2,0.362,0.760
60.75,-73.75,0.563,0.557,2,0.394,0.744
