latitude,longitude,mean_cloud_cover,median_cloud_cover,mode_cloud_cover,min_cloud_cover,max_cloud_cover,inside_us
53.75,-56.25,0.7557499999999999,0.738,0.6000000000000001,0.606,0.941,True
53.75,-55.75,0.72625,0.7085,0.8,0.575,0.913,True
53.75,-55.25,0.71625,0.734,0.6000000000000001,0.543,0.854,True
53.75,-54.75,0.66925,0.6435,0.4,0.484,0.906,True
53.25,-57.25,0.691,0.6439999999999999,0.4,0.476,1.0,True
53.25,-56.75,0.74725,0.7090000000000001,0.6000000000000001,0.575,0.996,True
53.25,-56.25,0.76375,0.7915000000000001,0.8,0.531,0.941,True
53.25,-55.75,0.74825,0.7424999999999999,0.4,0.555,0.953,True
53.25,-55.25,0.6735,0.6990000000000001,0.6000000000000001,0.465,0.831,True
53.25,-54.75,0.6565,0.622,0.6000000000000001,0.579,0.803,True
53.25,-54.25,0.65075,0.5945,0.4,0.516,0.898,True
53.25,-53.75,0.71375,0.7265,0.6000000000000001,0.524,0.878,True
52.75,-57.75,0.6437499999999999,0.626,0.6000000000000001,0.358,0.965,True
52.75,-57.25,0.70875,0.7165,0.6000000000000001,0.437,0.965,True
52.75,-56.75,0.65625,0.677,0.6000000000000001,0.413,0.858,True
52.75,-56.25,0.749,0.7909999999999999,0.8,0.52,0.894,True
52.75,-55.75,0.753,0.7895,0.8,0.539,0.894,True
52.75,-55.25,0.67925,0.6575,0.4,0.5,0.902,True
52.75,-54.75,0.6625,0.6735,0.4,0.488,0.815,True
52.75,-54.25,0.739,0.738,0.8,0.594,0.886,True
52.75,-53.75,0.6977500000000001,0.6950000000000001,0.6000000000000001,0.492,0.909,True
52.25,-58.25,0.67225,0.6635,0.2,0.362,1.0,True
52.25,-57.75,0.68025,0.6455,0.4,0.469,0.961,True
52.25,-57.25,0.628,0.5495,0.4,0.504,0.909,True
52.25,-56.75,0.73225,0.7125,0.4,0.535,0.969,True
52.25,-56.25,0.6960000000000001,0.7030000000000001,0.4,0.472,0.906,True
52.25,-55.75,0.7892499999999999,0.7635000000000001,0.6000000000000001,0.693,0.937,True
52.25,-55.25,0.6779999999999999,0.661,0.4,0.445,0.945,True
52.25,-54.75,0.67625,0.6735,0.4,0.5,0.858,True
52.25,-54.25,0.642,0.6085,0.2,0.382,0.969,True
52.25,-53.75,0.64775,0.6539999999999999,0.4,0.496,0.787,True
