latitude,longitude,cloud_cover
64.25,-78.75,0.976
64.25,-78.25,1.0
64.25,-77.75,1.0
64.25,-77.25,0.642
64.25,-76.75,0.331
64.25,-76.25,0.051
64.25,-75.75,0.047
64.25,-75.25,0.035
64.25,-74.75,0.118
64.25,-74.25,0.598
64.25,-73.75,0.587
64.25,-73.25,1.0
64.25,-72.75,0.976
63.75,-79.25,0.5
63.75,-78.75,0.5
63.75,-78.25,0.575
63.75,-77.75,1.0
63.75,-77.25,1.0
63.75,-76.75,0.996
63.75,-76.25,0.996
63.75,-75.75,0.819
63.75,-75.25,1.0
63.75,-74.75,1.0
63.75,-74.25,1.0
63.75,-73.75,1.0
63.75,-73.25,1.0
63.75,-72.75,1.0
63.75,-72.25,0.984
63.75,-71.75,0.85
63.25,-79.75,0.965
63.25,-79.25,0.543
63.25,-78.75,0.642
63.25,-78.25,0.996
63.25,-77.75,1.0
63.25,-77.25,0.854
63.25,-76.75,1.0
63.25,-76.25,0.764
63.25,-75.75,0.504
63.25,-75.25,0.362
63.25,-74.75,0.697
63.25,-74.25,0.866
63.25,-73.75,1.0
63.25,-73.25,1.0
63.25,-72.75,1.0
63.25,-72.25,1.0
63.25,-71.75,1.0
63.25,-71.25,1.0
63.25,-70.75,0.752
62.75,-79.75,0.5
62.75,-79.25,0.665
62.75,-78.75,0.992
62.75,-78.25,1.0
62.75,-77.75,1.0
62.75,-77.25,1.0
62.75,-76.75,0.953
62.75,-76.25,1.0
62.75,-75.75,1.0
62.75,-75.25,1.0
62.75,-74.75,1.0
62.75,-74.25,1.0
62.75,-73.75,1.0
62.75,-73.25,1.0
62.75,-72.75,1.0
62.75,-72.25,0.996
62.75,-71.75,1.0
62.75,-71.25,1.0
62.75,-70.75,0.992
62.75,-70.25,0.898
62.75,-69.75,0.654
62.75,-69.25,0.614
62.75,-68.75,0.598
62.25,-79.75,0.472
62.25,-79.25,0.657
62.25,-78.75,1.0
62.25,-78.25,0.528
62.25,-77.75,0.98
62.25,-77.25,1.0
62.25,-76.75,1.0
62.25,-76.25,1.0
62.25,-75.75,1.0
62.25,-75.25,1.0
62.25,-74.75,1.0
62.25,-74.25,1.0
62.25,-73.75,1.0
62.25,-73.25,1.0
62.25,-72.75,1.0
62.25,-72.25,1.0
62.25,-71.75,1.0
62.25,-71.25,1.0
62.25,-70.75,1.0
62.25,-70.25,1.0
62.25,-69.75,0.965
62.25,-69.25,0.933
62.25,-68.75,0.508
62.25,-68.25,0.012
62.25,-67.75,0.276
62.25,-67.25,0.295
62.25,-65.75,0.642
62.25,-65.25,0.35
62.25,-64.75,0.346
62.25,-64.25,0.142
62.25,-63.75,0.055
61.75,-79.75,0.504
61.75,-79.25,0.48
61.75,-78.75,0.291
61.75,-78.25,0.894
61.75,-77.75,0.535
61.75,-77.25,1.0
61.75,-76.75,1.0
61.75,-76.25,1.0
61.75,-75.75,1.0
61.75,-75.25,1.0
61.75,-74.75,1.0
61.75,-74.25,1.0
61.75,-73.75,1.0
61.75,-73.25,1.0
61.75,-72.75,0.787
61.75,-72.25,0.642
61.75,-71.75,1.0
61.75,-71.25,1.0
61.75,-70.75,1.0
61.75,-70.25,1.0
61.75,-69.75,1.0
61.75,-69.25,1.0
61.75,-68.75,1.0
61.75,-68.25,0.957
61.75,-67.75,0.543
61.75,-67.25,0.193
61.75,-66.75,0.236
61.75,-66.25,0.386
61.75,-65.75,0.244
61.75,-65.25,0.161
61.75,-64.75,0.346
61.75,-64.25,0.339
61.75,-63.75,0.445
61.75,-63.25,0.248
61.25,-79.75,0.433
61.25,-79.25,0.508
61.25,-78.75,0.878
61.25,-78.25,0.78
61.25,-77.75,0.835
61.25,-77.25,0.5
61.25,-76.75,0.504
61.25,-76.25,1.0
61.25,-75.75,1.0
61.25,-75.25,1.0
61.25,-74.75,1.0
61.25,-74.25,1.0
61.25,-73.75,1.0
61.25,-73.25,1.0
61.25,-72.75,0.638
61.25,-72.25,0.776
61.25,-71.75,0.067
61.25,-71.25,0.012
61.25,-70.75,0.398
61.25,-70.25,1.0
61.25,-69.75,1.0
61.25,-69.25,1.0
61.25,-68.75,1.0
61.25,-68.25,1.0
61.25,-67.75,1.0
61.25,-67.25,0.594
61.25,-66.75,0.535
61.25,-66.25,0.315
61.25,-65.75,0.059
61.25,-65.25,0.496
61.25,-64.75,0.65
61.25,-64.25,0.358
61.25,-63.75,0.276
61.25,-63.25,0.457
61.25,-62.75,0.587
60.75,-79.75,0.5
60.75,-79.25,0.5
60.75,-78.75,0.602
60.75,-78.25,0.949
60.75,-77.75,0.992
60.75,-77.25,1.0
60.75,-76.75,0.551
60.75,-76.25,1.0
60.75,-75.75,0.996
60.75,-75.25,1.0
60.75,-74.75,0.976
60.75,-74.25,1.0
60.75,-73.75,1.0
60.75,-73.25,1.0
60.75,-72.75,0.744
60.75,-72.25,0.921
60.75,-71.75,0.709
60.75,-71.25,0.445
60.75,-70.75,0.5
60.75,-70.25,0.303
60.75,-69.75,0.461
60.75,-69.25,0.374
60.75,-68.75,0.862
60.75,-68.25,1.0
60.75,-67.75,1.0
60.75,-67.25,0.984
60.75,-66.75,0.5
60.75,-66.25,0.547
60.75,-65.75,0.118
60.75,-65.25,0.799
60.75,-64.75,0.976
60.75,-64.25,0.882
60.75,-63.75,0.898
60.75,-63.25,0.984
60.75,-62.75,0.969
60.75,-62.25,0.984
60.25,-79.75,0.5
60.25,-79.25,0.5
60.25,-78.75,0.52
60.25,-78.25,0.626
60.25,-77.75,0.756
60.25,-77.25,0.776
60.25,-76.75,0.996
60.25,-76.25,0.5
60.25,-75.75,0.772
60.25,-75.25,1.0
60.25,-74.75,1.0
60.25,-74.25,0.953
60.25,-73.75,1.0
60.25,-73.25,1.0
60.25,-72.75,0.673
60.25,-72.25,0.909
60.25,-71.75,0.575
60.25,-71.25,0.5
60.25,-70.75,0.449
60.25,-70.25,0.409
60.25,-69.75,0.185
60.25,-69.25,0.441
60.25,-68.75,0.921
60.25,-68.25,1.0
60.25,-67.75,0.76
60.25,-67.25,0.988
60.25,-66.75,0.953
60.25,-66.25,0.72
60.25,-65.75,0.961
60.25,-65.25,0.937
60.25,-64.75,1.0
60.25,-64.25,0.728
60.25,-63.75,0.988
60.25,-63.25,1.0
60.25,-62.75,1.0
60.25,-62.25,1.0
60.25,-61.75,1.0
59.75,-80.25,0.0
59.75,-79.75,0.0
59.75,-79.25,0.5
59.75,-78.75,0.5
59.75,-78.25,0.65
59.75,-77.75,0.917
59.75,-77.25,0.783
59.75,-76.75,0.89
59.75,-76.25,0.504
59.75,-75.75,0.98
59.75,-75.25,0.858
59.75,-74.75,0.992
59.75,-74.25,1.0
59.75,-73.75,0.933
59.75,-73.25,1.0
59.75,-72.75,0.929
59.75,-72.25,1.0
59.75,-71.75,0.681
59.75,-71.25,0.701
59.75,-70.75,0.496
59.75,-70.25,0.224
59.75,-69.75,0.051
59.75,-69.25,0.02
59.75,-68.75,0.37
59.75,-68.25,1.0
59.75,-67.75,1.0
59.75,-67.25,1.0
59.75,-66.75,1.0
59.75,-66.25,1.0
59.75,-65.75,1.0
59.75,-65.25,1.0
59.75,-64.75,1.0
59.75,-64.25,1.0
59.75,-63.75,0.563
59.75,-63.25,0.992
59.75,-62.75,0.996
59.75,-62.25,1.0
59.75,-61.75,1.0
59.75,-61.25,1.0
59.25,-80.25,0.0
59.25,-79.75,0.0
59.25,-79.25,0.0
59.25,-78.75,0.5
59.25,-78.25,0.5
59.25,-77.75,0.516
59.25,-77.25,0.516
59.25,-76.75,0.567
59.25,-76.25,0.543
59.25,-75.75,0.673
59.25,-75.25,0.988
59.25,-74.75,0.984
59.25,-74.25,1.0
59.25,-73.75,0.976
59.25,-73.25,1.0
59.25,-72.75,0.969
59.25,-72.25,0.894
59.25,-71.75,0.988
59.25,-71.25,0.787
59.25,-70.75,1.0
59.25,-70.25,1.0
59.25,-69.75,0.067
59.25,-69.25,0.075
59.25,-68.75,0.079
59.25,-68.25,0.476
59.25,-67.75,0.563
59.25,-67.25,1.0
59.25,-66.75,1.0
59.25,-66.25,1.0
59.25,-65.75,1.0
59.25,-65.25,1.0
59.25,-64.75,1.0
59.25,-64.25,0.98
59.25,-63.75,0.291
59.25,-63.25,0.004
59.25,-62.75,0.0
59.25,-62.25,0.457
59.25,-61.75,0.079
59.25,-61.25,0.909
59.25,-60.75,1.0
59.25,-60.25,1.0
58.75,-89.25,0.012
58.75,-88.75,0.055
58.75,-88.25,0.004
58.75,-80.25,0.02
58.75,-79.75,0.035
58.75,-79.25,0.024
58.75,-78.75,0.0
58.75,-78.25,0.0
58.75,-77.75,0.992
58.75,-77.25,1.0
58.75,-76.75,0.535
58.75,-76.25,0.701
58.75,-75.75,0.583
58.75,-75.25,0.681
58.75,-74.75,0.992
58.75,-74.25,0.992
58.75,-73.75,0.996
58.75,-73.25,0.969
58.75,-72.75,1.0
58.75,-72.25,1.0
58.75,-71.75,1.0
58.75,-71.25,1.0
58.75,-70.75,0.732
58.75,-70.25,0.516
58.75,-69.75,0.543
58.75,-69.25,0.524
58.75,-68.75,0.449
58.75,-68.25,0.476
58.75,-67.75,0.661
58.75,-67.25,0.697
58.75,-66.75,1.0
58.75,-66.25,1.0
58.75,-65.75,1.0
58.75,-65.25,1.0
58.75,-64.75,1.0
58.75,-64.25,1.0
58.75,-63.75,0.488
58.75,-63.25,0.063
58.75,-62.75,0.0
58.75,-62.25,0.0
58.75,-61.75,0.0
58.75,-61.25,0.106
58.75,-60.75,1.0
58.75,-60.25,1.0
58.75,-59.75,1.0
58.25,-90.25,0.0
58.25,-89.75,0.0
58.25,-89.25,0.047
58.25,-88.75,0.004
58.25,-88.25,0.5
58.25,-87.75,0.5
58.25,-87.25,0.917
58.25,-80.25,0.0
58.25,-79.75,0.0
58.25,-79.25,0.0
58.25,-78.75,1.0
58.25,-78.25,0.728
58.25,-77.75,1.0
58.25,-77.25,0.693
58.25,-76.75,0.917
58.25,-76.25,0.575
58.25,-75.75,0.5
58.25,-75.25,0.654
58.25,-74.75,1.0
58.25,-74.25,0.988
58.25,-73.75,1.0
58.25,-73.25,1.0
58.25,-72.75,1.0
58.25,-72.25,1.0
58.25,-71.75,1.0
58.25,-71.25,1.0
58.25,-70.75,1.0
58.25,-70.25,0.866
58.25,-69.75,1.0
58.25,-69.25,0.866
58.25,-68.75,0.547
58.25,-68.25,0.484
58.25,-67.75,0.449
58.25,-67.25,0.224
58.25,-66.75,0.512
58.25,-66.25,0.992
58.25,-65.75,1.0
58.25,-65.25,1.0
58.25,-64.75,1.0
58.25,-64.25,1.0
58.25,-63.75,0.866
58.25,-63.25,0.102
58.25,-62.75,0.012
58.25,-62.25,0.0
58.25,-61.75,0.0
58.25,-61.25,0.047
58.25,-60.75,0.469
58.25,-60.25,1.0
58.25,-59.75,1.0
57.75,-91.25,0.0
57.75,-90.75,0.0
57.75,-90.25,0.0
57.75,-89.75,0.0
57.75,-89.25,0.0
57.75,-88.75,0.0
57.75,-88.25,0.39
57.75,-87.75,0.248
57.75,-87.25,0.953
57.75,-86.75,1.0
57.75,-86.25,1.0
57.75,-80.25,0.028
57.75,-79.75,0.0
57.75,-79.25,0.0
57.75,-78.75,0.839
57.75,-78.25,1.0
57.75,-77.75,1.0
57.75,-77.25,0.039
57.75,-76.75,0.614
57.75,-76.25,0.657
57.75,-75.75,0.504
57.75,-75.25,0.504
57.75,-74.75,0.5
57.75,-74.25,1.0
57.75,-73.75,1.0
57.75,-73.25,0.598
57.75,-72.75,1.0
57.75,-72.25,0.988
57.75,-71.75,1.0
57.75,-71.25,1.0
57.75,-70.75,1.0
57.75,-70.25,0.965
57.75,-69.75,1.0
57.75,-69.25,0.709
57.75,-68.75,0.72
57.75,-68.25,0.728
57.75,-67.75,0.39
57.75,-67.25,0.677
57.75,-66.75,0.311
57.75,-66.25,0.5
57.75,-65.75,0.65
57.75,-65.25,1.0
57.75,-64.75,1.0
57.75,-64.25,1.0
57.75,-63.75,1.0
57.75,-63.25,0.331
57.75,-62.75,0.0
57.75,-62.25,0.0
57.75,-61.75,0.012
57.75,-61.25,0.0
57.75,-60.75,0.0
57.75,-60.25,0.201
57.75,-59.75,1.0
57.75,-59.25,1.0
57.25,-91.75,0.016
57.25,-91.25,0.0
57.25,-90.75,0.0
57.25,-90.25,0.0
57.25,-89.75,0.02
57.25,-89.25,0.0
57.25,-88.75,0.5
57.25,-88.25,0.287
57.25,-87.75,1.0
57.25,-87.25,1.0
57.25,-86.75,1.0
57.25,-86.25,1.0
57.25,-85.75,1.0
57.25,-85.25,1.0
57.25,-84.75,1.0
57.25,-84.25,0.0
57.25,-83.75,0.0
57.25,-79.75,0.0
57.25,-79.25,0.0
57.25,-78.75,0.882
57.25,-78.25,1.0
57.25,-77.75,1.0
57.25,-77.25,0.618
57.25,-76.75,0.74
57.25,-76.25,0.465
57.25,-75.75,0.5
57.25,-75.25,0.5
57.25,-74.75,0.575
57.25,-74.25,0.5
57.25,-73.75,0.902
57.25,-73.25,0.996
57.25,-72.75,0.921
57.25,-72.25,0.992
57.25,-71.75,0.72
57.25,-71.25,1.0
57.25,-70.75,1.0
57.25,-70.25,1.0
57.25,-69.75,1.0
57.25,-69.25,0.957
57.25,-68.75,0.63
57.25,-68.25,0.744
57.25,-67.75,0.291
57.25,-67.25,0.657
57.25,-66.75,0.291
57.25,-66.25,0.492
57.25,-65.75,0.5
57.25,-65.25,0.846
57.25,-64.75,1.0
57.25,-64.25,1.0
57.25,-63.75,1.0
57.25,-63.25,0.941
57.25,-62.75,0.087
57.25,-62.25,0.091
57.25,-61.75,0.0
57.25,-61.25,0.0
57.25,-60.75,0.0
57.25,-60.25,0.0
57.25,-59.75,0.0
57.25,-59.25,1.0
56.75,-92.75,0.0
56.75,-92.25,0.0
56.75,-91.75,0.0
56.75,-91.25,0.0
56.75,-90.75,0.0
56.75,-90.25,0.0
56.75,-89.75,0.0
56.75,-89.25,0.0
56.75,-88.75,0.193
56.75,-88.25,0.303
56.75,-87.75,0.846
56.75,-87.25,0.98
56.75,-86.75,1.0
56.75,-86.25,1.0
56.75,-85.75,1.0
56.75,-85.25,1.0
56.75,-84.75,0.89
56.75,-84.25,0.0
56.75,-83.75,0.035
56.75,-83.25,0.0
56.75,-82.75,0.874
56.75,-82.25,0.535
56.75,-81.75,0.0
56.75,-81.25,0.0
56.75,-79.25,0.012
56.75,-78.75,0.866
56.75,-78.25,1.0
56.75,-77.75,1.0
56.75,-77.25,0.0
56.75,-76.75,0.937
56.75,-76.25,0.197
56.75,-75.75,0.26
56.75,-75.25,0.5
56.75,-74.75,0.902
56.75,-74.25,0.524
56.75,-73.75,0.5
56.75,-73.25,0.709
56.75,-72.75,1.0
56.75,-72.25,0.988
56.75,-71.75,1.0
56.75,-71.25,0.988
56.75,-70.75,0.728
56.75,-70.25,1.0
56.75,-69.75,1.0
56.75,-69.25,0.661
56.75,-68.75,0.913
56.75,-68.25,0.732
56.75,-67.75,0.913
56.75,-67.25,0.547
56.75,-66.75,0.374
56.75,-66.25,0.862
56.75,-65.75,0.752
56.75,-65.25,1.0
56.75,-64.75,1.0
56.75,-64.25,1.0
56.75,-63.75,1.0
56.75,-63.25,1.0
56.75,-62.75,0.894
56.75,-62.25,0.382
56.75,-61.75,0.205
56.75,-61.25,0.063
56.75,-60.75,0.024
56.75,-60.25,0.0
56.75,-59.75,0.0
56.75,-59.25,0.0
56.75,-58.75,1.0
56.75,-58.25,1.0
56.75,-57.75,1.0
56.75,-57.25,1.0
56.25,-93.25,0.0
56.25,-92.75,0.0
56.25,-92.25,0.012
56.25,-91.75,0.0
56.25,-91.25,0.008
56.25,-90.75,0.0
56.25,-90.25,0.0
56.25,-89.75,0.0
56.25,-89.25,0.0
56.25,-88.75,0.138
56.25,-88.25,0.161
56.25,-87.75,0.386
56.25,-87.25,0.728
56.25,-86.75,1.0
56.25,-86.25,1.0
56.25,-85.75,1.0
56.25,-85.25,1.0
56.25,-84.75,0.65
56.25,-84.25,0.0
56.25,-83.75,0.827
56.25,-83.25,0.0
56.25,-82.75,1.0
56.25,-82.25,0.724
56.25,-81.75,1.0
56.25,-81.25,0.0
56.25,-80.75,0.705
56.25,-80.25,0.004
56.25,-79.75,0.0
56.25,-79.25,0.016
56.25,-78.75,0.984
56.25,-78.25,1.0
56.25,-77.75,1.0
56.25,-77.25,1.0
56.25,-76.75,0.26
56.25,-76.25,0.524
56.25,-75.75,0.0
56.25,-75.25,0.0
56.25,-74.75,0.5
56.25,-74.25,0.98
56.25,-73.75,0.559
56.25,-73.25,0.567
56.25,-72.75,0.65
56.25,-72.25,0.783
56.25,-71.75,0.898
56.25,-71.25,0.772
56.25,-70.75,0.961
56.25,-70.25,0.996
56.25,-69.75,0.929
56.25,-69.25,0.878
56.25,-68.75,0.941
56.25,-68.25,0.98
56.25,-67.75,0.972
56.25,-67.25,0.902
56.25,-66.75,0.37
56.25,-66.25,0.728
56.25,-65.75,0.772
56.25,-65.25,0.98
56.25,-64.75,0.992
56.25,-64.25,0.713
56.25,-63.75,0.638
56.25,-63.25,0.831
56.25,-62.75,0.957
56.25,-62.25,0.232
56.25,-61.75,0.035
56.25,-61.25,0.004
56.25,-60.75,0.087
56.25,-60.25,0.091
56.25,-59.75,0.0
56.25,-59.25,0.283
56.25,-58.75,0.878
56.25,-58.25,1.0
56.25,-57.75,1.0
56.25,-57.25,1.0
56.25,-56.75,1.0
56.25,-56.25,1.0
56.25,-55.75,1.0
55.75,-94.25,0.138
55.75,-93.75,0.012
55.75,-93.25,0.0
55.75,-92.75,0.024
55.75,-92.25,0.012
55.75,-91.75,0.008
55.75,-91.25,0.047
55.75,-90.75,0.083
55.75,-90.25,0.008
55.75,-89.75,0.0
55.75,-89.25,0.0
55.75,-88.75,0.244
55.75,-88.25,0.063
55.75,-87.75,0.413
55.75,-87.25,0.539
55.75,-86.75,0.949
55.75,-86.25,1.0
55.75,-85.75,0.976
55.75,-85.25,0.929
55.75,-84.75,0.5
55.75,-84.25,0.0
55.75,-83.75,0.988
55.75,-83.25,0.0
55.75,-82.75,1.0
55.75,-82.25,0.874
55.75,-81.75,0.0
55.75,-81.25,0.0
55.75,-80.75,0.0
55.75,-80.25,0.0
55.75,-79.75,0.0
55.75,-79.25,0.0
55.75,-78.75,0.0
55.75,-78.25,1.0
55.75,-77.75,1.0
55.75,-77.25,0.555
55.75,-76.75,0.0
55.75,-76.25,0.0
55.75,-75.75,0.0
55.75,-75.25,0.0
55.75,-74.75,0.0
55.75,-74.25,0.0
55.75,-73.75,0.5
55.75,-73.25,0.555
55.75,-72.75,0.594
55.75,-72.25,0.547
55.75,-71.75,0.76
55.75,-71.25,0.756
55.75,-70.75,0.996
55.75,-70.25,1.0
55.75,-69.75,0.898
55.75,-69.25,0.87
55.75,-68.75,0.98
55.75,-68.25,0.988
55.75,-67.75,0.996
55.75,-67.25,0.992
55.75,-66.75,0.941
55.75,-66.25,0.972
55.75,-65.75,0.976
55.75,-65.25,0.933
55.75,-64.75,1.0
55.75,-64.25,1.0
55.75,-63.75,0.874
55.75,-63.25,0.559
55.75,-62.75,0.929
55.75,-62.25,0.957
55.75,-61.75,0.72
55.75,-61.25,0.354
55.75,-60.75,0.122
55.75,-60.25,0.228
55.75,-59.75,0.094
55.75,-59.25,0.0
55.75,-58.75,0.067
55.75,-58.25,1.0
55.75,-57.75,1.0
55.75,-57.25,1.0
55.75,-56.75,1.0
55.75,-56.25,1.0
55.75,-55.75,1.0
55.75,-55.25,1.0
55.25,-94.75,0.146
55.25,-94.25,0.0
55.25,-93.75,0.0
55.25,-93.25,0.016
55.25,-92.75,0.055
55.25,-92.25,0.012
55.25,-91.75,0.024
55.25,-91.25,0.0
55.25,-90.75,0.063
55.25,-90.25,0.024
55.25,-89.75,0.0
55.25,-89.25,0.0
55.25,-88.75,0.012
55.25,-88.25,0.0
55.25,-87.75,0.37
55.25,-87.25,0.394
55.25,-86.75,0.61
55.25,-86.25,0.752
55.25,-85.75,0.866
55.25,-85.25,0.5
55.25,-84.75,0.567
55.25,-84.25,0.0
55.25,-83.75,0.0
55.25,-83.25,0.0
55.25,-82.75,0.992
55.25,-82.25,0.602
55.25,-81.75,0.0
55.25,-81.25,0.0
55.25,-80.75,0.0
55.25,-80.25,0.0
55.25,-79.75,0.122
55.25,-79.25,0.965
55.25,-78.75,0.0
55.25,-78.25,0.0
55.25,-77.75,0.15
55.25,-77.25,0.642
55.25,-76.75,0.0
55.25,-76.25,0.004
55.25,-75.75,0.0
55.25,-75.25,0.0
55.25,-74.75,0.154
55.25,-74.25,0.0
55.25,-73.75,0.0
55.25,-73.25,0.602
55.25,-72.75,0.827
55.25,-72.25,0.902
55.25,-71.75,1.0
55.25,-71.25,0.929
55.25,-70.75,0.862
55.25,-70.25,1.0
55.25,-69.75,0.992
55.25,-69.25,1.0
55.25,-68.75,0.894
55.25,-68.25,1.0
55.25,-67.75,1.0
55.25,-67.25,1.0
55.25,-66.75,1.0
55.25,-66.25,0.988
55.25,-65.75,0.878
55.25,-65.25,0.984
55.25,-64.75,0.713
55.25,-64.25,0.803
55.25,-63.75,0.449
55.25,-63.25,0.547
55.25,-62.75,0.602
55.25,-62.25,0.791
55.25,-61.75,0.142
55.25,-61.25,0.264
55.25,-60.75,0.102
55.25,-60.25,0.441
55.25,-59.75,1.0
55.25,-59.25,0.78
55.25,-58.75,0.362
55.25,-58.25,0.528
55.25,-57.75,1.0
55.25,-57.25,1.0
55.25,-56.75,1.0
55.25,-56.25,1.0
55.25,-55.75,1.0
55.25,-55.25,1.0
55.25,-54.75,1.0
54.75,-95.75,0.043
54.75,-95.25,0.256
54.75,-94.75,0.165
54.75,-94.25,0.0
54.75,-93.75,0.0
54.75,-93.25,0.02
54.75,-92.75,0.039
54.75,-92.25,0.055
54.75,-91.75,0.012
54.75,-91.25,0.071
54.75,-90.75,0.22
54.75,-90.25,0.047
54.75,-89.75,0.008
54.75,-89.25,0.016
54.75,-88.75,0.0
54.75,-88.25,0.016
54.75,-87.75,0.016
54.75,-87.25,0.004
54.75,-86.75,0.362
54.75,-86.25,0.13
54.75,-85.75,0.492
54.75,-85.25,0.413
54.75,-84.75,0.276
54.75,-84.25,0.0
54.75,-83.75,0.047
54.75,-83.25,0.063
54.75,-82.75,0.161
54.75,-82.25,0.083
54.75,-81.75,0.0
54.75,-81.25,0.0
54.75,-80.75,0.0
54.75,-80.25,0.0
54.75,-79.75,0.264
54.75,-79.25,0.0
54.75,-78.75,0.0
54.75,-78.25,0.0
54.75,-77.75,0.0
54.75,-77.25,0.0
54.75,-76.75,0.0
54.75,-76.25,0.0
54.75,-75.75,0.0
54.75,-75.25,0.0
54.75,-74.75,0.0
54.75,-74.25,0.035
54.75,-73.75,0.004
54.75,-73.25,0.008
54.75,-72.75,0.5
54.75,-72.25,0.508
54.75,-71.75,0.504
54.75,-71.25,0.909
54.75,-70.75,0.606
54.75,-70.25,0.882
54.75,-69.75,0.815
54.75,-69.25,0.992
54.75,-68.75,0.996
54.75,-68.25,1.0
54.75,-67.75,0.972
54.75,-67.25,1.0
54.75,-66.75,0.85
54.75,-66.25,0.886
54.75,-65.75,0.795
54.75,-65.25,0.882
54.75,-64.75,0.925
54.75,-64.25,0.157
54.75,-63.75,0.024
54.75,-63.25,0.0
54.75,-62.75,0.398
54.75,-62.25,0.728
54.75,-61.75,0.425
54.75,-61.25,0.26
54.75,-60.75,0.563
54.75,-60.25,0.425
54.75,-59.75,0.307
54.75,-59.25,1.0
54.75,-58.75,0.787
54.75,-58.25,0.126
54.75,-57.75,1.0
54.75,-57.25,1.0
54.75,-56.75,1.0
54.75,-56.25,1.0
54.75,-55.75,1.0
54.75,-55.25,1.0
54.75,-54.75,1.0
54.75,-54.25,1.0
54.25,-96.25,0.012
54.25,-95.75,0.413
54.25,-95.25,0.535
54.25,-94.75,0.248
54.25,-94.25,0.402
54.25,-93.75,0.331
54.25,-93.25,0.28
54.25,-92.75,0.248
54.25,-92.25,0.417
54.25,-91.75,0.244
54.25,-91.25,0.043
54.25,-90.75,0.0
54.25,-90.25,0.126
54.25,-89.75,0.28
54.25,-89.25,0.051
54.25,-88.75,0.031
54.25,-88.25,0.185
54.25,-87.75,0.079
