latitude,longitude,mean_cloud_cover,median_cloud_cover,mode_cloud_cover,min_cloud_cover,max_cloud_cover,inside_us
64.25,-78.75,0.47981818181818175,0.594,0.0,0.0,1.0,True
64.25,-78.25,0.5959090909090908,0.768,0.0,0.012,1.0,True
64.25,-77.75,0.5629090909090911,0.669,0.2,0.0,1.0,True
64.25,-77.25,0.4639090909090909,0.217,0.0,0.039,1.0,True
64.25,-76.75,0.44054545454545446,0.165,0.0,0.004,1.0,True
64.25,-76.25,0.44236363636363635,0.327,0.0,0.0,1.0,True
64.25,-75.75,0.5116363636363636,0.394,0.2,0.122,1.0,True
64.25,-75.25,0.5247272727272727,0.496,0.2,0.087,1.0,True
64.25,-74.75,0.5728181818181818,0.512,0.2,0.138,1.0,True
64.25,-74.25,0.5449999999999999,0.457,0.4,0.126,1.0,True
64.25,-73.75,0.4988181818181818,0.531,0.0,0.0,1.0,True
64.25,-73.25,0.6095454545454545,0.677,0.6000000000000001,0.0,1.0,True
64.25,-72.75,0.6249999999999999,0.752,0.8,0.0,1.0,True
63.75,-79.25,0.4674545454545455,0.701,0.0,0.0,1.0,True
63.75,-78.75,0.4760909090909091,0.646,0.0,0.0,1.0,True
63.75,-78.25,0.6445454545454545,0.732,1.0,0.0,1.0,True
63.75,-77.75,0.7347272727272727,0.976,0.8,0.0,1.0,True
63.75,-77.25,0.5880909090909091,0.598,1.0,0.0,1.0,True
63.75,-76.75,0.6447272727272728,0.591,0.4,0.012,1.0,True
63.75,-76.25,0.7220000000000001,0.921,0.8,0.102,1.0,True
63.75,-75.75,0.7386363636363636,0.917,0.4,0.063,1.0,True
63.75,-75.25,0.7083636363636363,0.736,0.4,0.154,1.0,True
63.75,-74.75,0.6323636363636363,0.559,0.4,0.256,1.0,True
63.75,-74.25,0.6610909090909091,0.634,0.6000000000000001,0.205,1.0,True
63.75,-73.75,0.7182727272727273,0.843,0.8,0.098,1.0,True
63.75,-73.25,0.6904545454545455,0.85,0.8,0.126,1.0,True
63.75,-72.75,0.636,0.811,0.8,0.0,1.0,True
63.75,-72.25,0.5775454545454545,0.496,0.0,0.0,1.0,True
63.75,-71.75,0.5085454545454545,0.398,0.0,0.0,1.0,True
63.25,-79.75,0.5654545454545454,0.74,0.0,0.0,1.0,True
63.25,-79.25,0.5310909090909092,0.543,0.0,0.0,1.0,True
63.25,-78.75,0.5808181818181818,0.61,0.6000000000000001,0.0,1.0,True
63.25,-78.25,0.6681818181818181,0.831,0.8,0.0,1.0,True
63.25,-77.75,0.6763636363636364,0.874,0.8,0.0,1.0,True
63.25,-77.25,0.6606363636363636,0.76,1.0,0.0,1.0,True
63.25,-76.75,0.7519090909090909,0.945,0.8,0.0,1.0,True
63.25,-76.25,0.7637272727272727,0.843,0.6000000000000001,0.0,1.0,True
63.25,-75.75,0.796,0.937,0.8,0.0,1.0,True
63.25,-75.25,0.7651818181818182,0.866,0.6000000000000001,0.0,1.0,True
63.25,-74.75,0.6681818181818181,0.748,0.6000000000000001,0.0,1.0,True
63.25,-74.25,0.6961818181818181,0.823,0.8,0.0,1.0,True
