latitude,longitude,mean_cloud_cover,median_cloud_cover,mode_cloud_cover,min_cloud_cover,max_cloud_cover,inside_us
64.25,-78.75,0.59925,0.5965,0.2,0.287,0.917,True
64.25,-78.25,0.7145,0.6635,0.6000000000000001,0.531,1.0,True
64.25,-77.75,0.8374999999999999,0.882,0.8,0.602,0.984,True
64.25,-77.25,0.7085,0.793,0.8,0.307,0.941,True
64.25,-76.75,0.754,0.823,0.2,0.37,1.0,True
64.25,-76.25,0.82675,0.9470000000000001,0.8,0.413,1.0,True
64.25,-75.75,0.77475,0.7895000000000001,0.4,0.52,1.0,True
64.25,-75.25,0.746,0.73,0.4,0.524,1.0,True
64.25,-74.75,0.7245,0.7030000000000001,0.4,0.492,1.0,True
64.25,-74.25,0.7324999999999999,0.762,0.4,0.457,0.949,True
64.25,-73.75,0.7942500000000001,0.8545,0.8,0.535,0.933,True
64.25,-73.25,0.7255,0.882,0.8,0.15,0.988,True
64.25,-72.75,0.61025,0.6555,0.0,0.13,1.0,True
63.75,-79.25,0.637,0.6459999999999999,0.2,0.256,1.0,True
63.75,-78.75,0.63,0.636,0.2,0.248,1.0,True
63.75,-78.25,0.6565,0.689,0.2,0.248,1.0,True
63.75,-77.75,0.625,0.612,0.2,0.276,1.0,True
63.75,-77.25,0.70875,0.8055,0.2,0.224,1.0,True
63.75,-76.75,0.746,0.868,1.0,0.248,1.0,True
63.75,-76.25,0.7332500000000001,0.8425,0.8,0.248,1.0,True
63.75,-75.75,0.745,0.9430000000000001,0.8,0.094,1.0,True
63.75,-75.25,0.70875,0.89,1.0,0.055,1.0,True
63.75,-74.75,0.7342500000000001,0.872,0.0,0.193,1.0,True
63.75,-74.25,0.6745,0.8075,0.0,0.083,1.0,True
63.75,-73.75,0.47924999999999995,0.437,0.0,0.043,1.0,True
63.75,-73.25,0.7105,0.8109999999999999,0.8,0.236,0.984,True
63.75,-72.75,0.696,0.8465,0.8,0.142,0.949,True
63.75,-72.25,0.53025,0.48200000000000004,0.0,0.157,1.0,True
63.75,-71.75,0.44199999999999995,0.384,0.0,0.0,1.0,True
63.25,-79.75,0.54325,0.5845,0.0,0.004,1.0,True
63.25,-79.25,0.565,0.563,0.0,0.134,1.0,True
63.25,-78.75,0.6575,0.685,0.2,0.26,1.0,True
63.25,-78.25,0.7265,0.825,0.8,0.291,0.965,True
63.25,-77.75,0.7517499999999999,0.7715000000000001,0.8,0.555,0.909,True
63.25,-77.25,0.79925,0.8425,0.8,0.516,0.996,True
63.25,-76.75,0.9655,0.9764999999999999,0.8,0.909,1.0,True
63.25,-76.25,0.9085,0.937,1.0,0.76,1.0,True
63.25,-75.75,0.82675,0.992,1.0,0.323,1.0,True
63.25,-75.25,0.7205,0.8995,1.0,0.083,1.0,True
63.25,-74.75,0.69875,0.876,1.0,0.043,1.0,True
63.25,-74.25,0.6034999999999999,0.7070000000000001,0.6000000000000001,0.0,1.0,True
63.25,-73.75,0.57375,0.6475,0.0,0.0,1.0,True
63.25,-73.25,0.6515,0.8049999999999999,0.8,0.0,0.996,True
63.25,-72.75,0.55125,0.5985,0.0,0.008,1.0,True
63.25,-72.25,0.5875,0.618,0.0,0.114,1.0,True
63.25,-71.75,0.5245,0.5355,0.0,0.055,0.972,True
63.25,-71.25,0.40075,0.3015,0.0,0.0,1.0,True
63.25,-70.75,0.45675,0.40349999999999997,0.0,0.071,0.949,True
62.75,-79.75,0.4625,0.364,0.2,0.122,1.0,True
62.75,-79.25,0.53825,0.40349999999999997,0.2,0.346,1.0,True
62.75,-78.75,0.67825,0.6045,0.4,0.504,1.0,True
62.75,-78.25,0.7204999999999999,0.7244999999999999,0.6000000000000001,0.433,1.0,True
62.75,-77.75,0.5465,0.5515,0.0,0.083,1.0,True
62.75,-77.25,0.569,0.5395,0.0,0.197,1.0,True
62.75,-76.75,0.684,0.6515,0.4,0.433,1.0,True
62.75,-76.25,0.83675,0.9510000000000001,1.0,0.445,1.0,True
62.75,-75.75,0.804,0.935,1.0,0.346,1.0,True
62.75,-75.25,0.75675,0.9625,1.0,0.102,1.0,True
62.75,-74.75,0.6475,0.681,0.2,0.228,1.0,True
62.75,-74.25,0.71075,0.8625,0.0,0.118,1.0,True
62.75,-73.75,0.5255,0.537,0.0,0.028,1.0,True
62.75,-73.25,0.61225,0.7244999999999999,0.0,0.0,1.0,True
62.75,-72.75,0.73825,0.9764999999999999,1.0,0.0,1.0,True
62.75,-72.25,0.60225,0.7045,0.6000000000000001,0.0,1.0,True
62.75,-71.75,0.499,0.504,0.4,0.0,0.988,True
62.75,-71.25,0.38475000000000004,0.368,0.0,0.0,0.803,True
62.75,-70.75,0.55525,0.6675,0.0,0.02,0.866,True
62.75,-70.25,0.51475,0.541,0.0,0.008,0.969,True
62.75,-69.75,0.571,0.571,0.8,0.177,0.965,True
62.75,-69.25,0.7775,0.866,0.2,0.378,1.0,True
62.75,-68.75,0.7725,0.8365,1.0,0.417,1.0,True
62.25,-79.75,0.53625,0.5195000000000001,0.4,0.106,1.0,True
62.25,-79.25,0.68,0.7815000000000001,0.0,0.157,1.0,True
62.25,-78.75,0.6547499999999999,0.7364999999999999,0.0,0.146,1.0,True
62.25,-78.25,0.613,0.6890000000000001,0.8,0.094,0.98,True
62.25,-77.75,0.5660000000000001,0.494,0.4,0.276,1.0,True
62.25,-77.25,0.6575,0.6945,0.2,0.28,0.961,True
62.25,-76.75,0.79425,0.754,0.6000000000000001,0.689,0.98,True
62.25,-76.25,0.76675,0.7735000000000001,0.6000000000000001,0.52,1.0,True
62.25,-75.75,0.6172500000000001,0.5965,0.2,0.276,1.0,True
62.25,-75.25,0.62475,0.728,0.0,0.043,1.0,True
62.25,-74.75,0.6014999999999999,0.6970000000000001,0.6000000000000001,0.012,1.0,True
62.25,-74.25,0.7645,0.8835,0.2,0.291,1.0,True
62.25,-73.75,0.7205,0.687,0.4,0.508,1.0,True
62.25,-73.25,0.75975,0.7695000000000001,0.4,0.5,1.0,True
62.25,-72.75,0.71175,0.878,0.0,0.091,1.0,True
62.25,-72.25,0.70675,0.9135,1.0,0.0,1.0,True
62.25,-71.75,0.66325,0.8265,0.0,0.0,1.0,True
62.25,-71.25,0.55025,0.5945,0.0,0.012,1.0,True
62.25,-70.75,0.5445,0.589,0.0,0.0,1.0,True
62.25,-70.25,0.47925,0.43900000000000006,0.0,0.039,1.0,True
62.25,-69.75,0.5974999999999999,0.6575,0.0,0.075,1.0,True
62.25,-69.25,0.67825,0.825,1.0,0.063,1.0,True
62.25,-68.75,0.625,0.75,1.0,0.0,1.0,True
62.25,-68.25,0.6505,0.7655000000000001,1.0,0.071,1.0,True
62.25,-67.75,0.553,0.547,0.0,0.118,1.0,True
62.25,-67.25,0.6212500000000001,0.5415,0.4,0.406,0.996,True
62.25,-65.75,0.45675,0.4175,0.0,0.0,0.992,True
62.25,-65.25,0.40449999999999997,0.303,0.0,0.067,0.945,True
62.25,-64.75,0.47250000000000003,0.48050000000000004,0.4,0.0,0.929,True
62.25,-64.25,0.373,0.246,0.0,0.0,1.0,True
62.25,-63.75,0.48525,0.506,0.0,0.0,0.929,True
61.75,-79.75,0.5825,0.5745,0.0,0.181,1.0,True
61.75,-79.25,0.63875,0.742,0.8,0.087,0.984,True
61.75,-78.75,0.39474999999999993,0.376,0.0,0.118,0.709,True
61.75,-78.25,0.40825,0.5,0.4,0.035,0.598,True
61.75,-77.75,0.438,0.376,0.0,0.0,1.0,True
61.75,-77.25,0.438,0.376,0.0,0.0,1.0,True
61.75,-76.75,0.48025,0.4605,0.4,0.0,1.0,True
61.75,-76.25,0.6367499999999999,0.7735000000000001,0.6000000000000001,0.0,1.0,True
61.75,-75.75,0.5415,0.6675,0.0,0.008,0.823,True
61.75,-75.25,0.5137499999999999,0.5395,0.0,0.0,0.976,True
61.75,-74.75,0.745,0.746,0.4,0.488,1.0,True
61.75,-74.25,0.87375,0.9485,0.8,0.598,1.0,True
61.75,-73.75,0.75975,0.7695000000000001,0.4,0.5,1.0,True
61.75,-73.25,0.82175,0.9035,1.0,0.48,1.0,True
61.75,-72.75,0.86025,0.988,1.0,0.465,1.0,True
61.75,-72.25,0.7965,0.9059999999999999,0.8,0.374,1.0,True
61.75,-71.75,0.70475,0.75,1.0,0.319,1.0,True
61.75,-71.25,0.745,0.99,0.8,0.0,1.0,True
61.75,-70.75,0.748,0.996,1.0,0.0,1.0,True
61.75,-70.25,0.5945,0.6890000000000001,0.6000000000000001,0.0,1.0,True
61.75,-69.75,0.6635,0.827,0.0,0.0,1.0,True
61.75,-69.25,0.5285,0.5569999999999999,0.4,0.0,1.0,True
61.75,-68.75,0.61225,0.563,0.2,0.323,1.0,True
61.75,-68.25,0.6022500000000001,0.5785,0.2,0.398,0.854,True
61.75,-67.75,0.6092500000000001,0.7165,0.0,0.004,1.0,True
61.75,-67.25,0.7145,0.685,0.4,0.488,1.0,True
61.75,-66.75,0.7295,0.823,0.8,0.272,1.0,True
61.75,-66.25,0.6950000000000001,0.772,0.8,0.256,0.98,True
61.75,-65.75,0.48425,0.492,0.0,0.173,0.78,True
61.75,-65.25,0.501,0.41900000000000004,0.2,0.26,0.906,True
61.75,-64.75,0.46925000000000006,0.4485,0.0,0.134,0.846,True
61.75,-64.25,0.44975,0.488,0.0,0.0,0.823,True
61.75,-63.75,0.501,0.5589999999999999,0.0,0.0,0.886,True
61.75,-63.25,0.2085,0.2045,0.0,0.0,0.425,True
61.25,-79.75,0.263,0.264,0.0,0.004,0.52,True
61.25,-79.25,0.30325,0.3565,0.4,0.0,0.5,True
61.25,-78.75,0.52075,0.5415,0.4,0.016,0.984,True
61.25,-78.25,0.5599999999999999,0.622,0.0,0.126,0.87,True
61.25,-77.75,0.5345,0.565,0.0,0.008,1.0,True
61.25,-77.25,0.41925,0.3345,0.0,0.008,1.0,True
61.25,-76.75,0.5,0.5,0.0,0.0,1.0,True
61.25,-76.25,0.57475,0.6495,0.0,0.0,1.0,True
61.25,-75.75,0.5375,0.575,0.0,0.0,1.0,True
61.25,-75.25,0.54025,0.5805,0.0,0.0,1.0,True
61.25,-74.75,0.5965,0.6930000000000001,1.0,0.0,1.0,True
61.25,-74.25,0.61025,0.7205,0.0,0.0,1.0,True
61.25,-73.75,0.6799999999999999,0.73,0.2,0.26,1.0,True
61.25,-73.25,0.7342500000000001,0.748,0.4,0.441,1.0,True
61.25,-72.75,0.79225,0.8365,1.0,0.496,1.0,True
61.25,-72.25,0.81875,0.8955,1.0,0.484,1.0,True
61.25,-71.75,0.7675000000000001,0.7695000000000001,0.4,0.531,1.0,True
61.25,-71.25,0.88875,0.868,0.8,0.819,1.0,True
61.25,-70.75,0.80225,1.0,1.0,0.209,1.0,True
61.25,-70.25,0.7697499999999999,0.9804999999999999,1.0,0.118,1.0,True
61.25,-69.75,0.8445,0.996,1.0,0.386,1.0,True
61.25,-69.25,0.61125,0.5,0.4,0.445,1.0,True
61.25,-68.75,0.628,0.506,0.4,0.5,1.0,True
61.25,-68.25,0.91125,0.929,0.8,0.787,1.0,True
61.25,-67.75,0.8425,0.931,1.0,0.508,1.0,True
61.25,-67.25,0.63975,0.6475,0.8,0.39,0.874,True
61.25,-66.75,0.66725,0.7755000000000001,0.8,0.173,0.945,True
61.25,-66.25,0.5315,0.4135,0.2,0.303,0.996,True
61.25,-65.75,0.54225,0.5825,0.0,0.02,0.984,True
61.25,-65.25,0.683,0.742,0.2,0.248,1.0,True
61.25,-64.75,0.61525,0.634,0.2,0.236,0.957,True
61.25,-64.25,0.508,0.4825,0.0,0.067,1.0,True
61.25,-63.75,0.5395000000000001,0.628,0.0,0.0,0.902,True
61.25,-63.25,0.63675,0.8069999999999999,0.8,0.0,0.933,True
61.25,-62.75,0.501,0.502,0.0,0.0,1.0,True
60.75,-79.75,0.25675000000000003,0.236,0.0,0.004,0.551,True
60.75,-79.25,0.39875,0.386,0.0,0.0,0.823,True
60.75,-78.75,0.40625,0.3185,0.0,0.0,0.988,True
60.75,-78.25,0.47650000000000003,0.457,0.0,0.0,0.992,True
60.75,-77.75,0.54225,0.5845,0.0,0.0,1.0,True
60.75,-77.25,0.54125,0.5805,0.0,0.004,1.0,True
60.75,-76.75,0.65525,0.787,0.0,0.047,1.0,True
60.75,-76.25,0.5345,0.569,0.0,0.0,1.0,True
60.75,-75.75,0.42900000000000005,0.42500000000000004,0.0,0.0,0.866,True
60.75,-75.25,0.497,0.494,0.0,0.0,1.0,True
60.75,-74.75,0.625,0.75,1.0,0.0,1.0,True
60.75,-74.25,0.625,0.75,1.0,0.0,1.0,True
60.75,-73.75,0.5700000000000001,0.64,1.0,0.0,1.0,True
60.75,-73.25,0.62575,0.7515000000000001,0.0,0.0,1.0,True
60.75,-72.75,0.8365,0.988,1.0,0.37,1.0,True
60.75,-72.25,0.8,0.862,1.0,0.476,1.0,True
60.75,-71.75,0.8534999999999999,0.957,0.8,0.5,1.0,True
60.75,-71.25,0.683,0.75,1.0,0.232,1.0,True
60.75,-70.75,0.98525,0.988,0.8,0.965,1.0,True
60.75,-70.25,0.99025,1.0,1.0,0.961,1.0,True
60.75,-69.75,0.997,1.0,1.0,0.988,1.0,True
60.75,-69.25,0.98925,1.0,1.0,0.957,1.0,True
60.75,-68.75,0.98725,1.0,1.0,0.949,1.0,True
60.75,-68.25,0.7875,0.8585,1.0,0.433,1.0,True
60.75,-67.75,0.6897500000000001,0.7695000000000001,0.6000000000000001,0.22,1.0,True
60.75,-67.25,0.71775,0.709,0.6000000000000001,0.512,0.941,True
60.75,-66.75,0.52575,0.49050000000000005,0.4,0.205,0.917,True
60.75,-66.25,0.4825,0.46849999999999997,0.2,0.213,0.78,True
60.75,-65.75,0.684,0.675,0.4,0.461,0.925,True
60.75,-65.25,0.43,0.388,0.0,0.098,0.846,True
60.75,-64.75,0.5225,0.5335,0.2,0.236,0.787,True
60.75,-64.25,0.45675,0.4115,0.0,0.004,1.0,True
60.75,-63.75,0.58075,0.6615,0.0,0.0,1.0,True
60.75,-63.25,0.489,0.478,0.0,0.0,1.0,True
60.75,-62.75,0.27375,0.1635,0.0,0.0,0.768,True
60.75,-62.25,0.5627500000000001,0.685,0.6000000000000001,0.157,0.724,True
60.25,-79.75,0.251,0.014,0.0,0.0,0.976,True
60.25,-79.25,0.25,0.0,0.0,0.0,1.0,True
60.25,-78.75,0.34650000000000003,0.193,0.0,0.0,1.0,True
60.25,-78.25,0.40549999999999997,0.311,0.2,0.0,1.0,True
60.25,-77.75,0.54525,0.5925,0.8,0.0,0.996,True
60.25,-77.25,0.63,0.756,1.0,0.008,1.0,True
60.25,-76.75,0.624,0.746,1.0,0.004,1.0,True
60.25,-76.25,0.56775,0.6355,0.0,0.0,1.0,True
60.25,-75.75,0.362,0.2695,0.0,0.0,0.909,True
60.25,-75.25,0.57875,0.6575,0.0,0.0,1.0,True
60.25,-74.75,0.6052500000000001,0.7105,1.0,0.0,1.0,True
60.25,-74.25,0.5375000000000001,0.5750000000000001,0.0,0.0,1.0,True
60.25,-73.75,0.6112500000000001,0.7225,1.0,0.0,1.0,True
60.25,-73.25,0.67525,0.8505,1.0,0.0,1.0,True
60.25,-72.75,0.91125,0.9505,0.8,0.744,1.0,True
60.25,-72.25,0.878,1.0,1.0,0.512,1.0,True
60.25,-71.75,0.689,0.8049999999999999,1.0,0.146,1.0,True
60.25,-71.25,0.76775,1.0,1.0,0.071,1.0,True
60.25,-70.75,0.79425,1.0,1.0,0.177,1.0,True
60.25,-70.25,0.999,1.0,1.0,0.996,1.0,True
60.25,-69.75,0.995,1.0,1.0,0.98,1.0,True
60.25,-69.25,0.935,0.994,1.0,0.752,1.0,True
60.25,-68.75,0.8780000000000001,0.882,0.6000000000000001,0.748,1.0,True
60.25,-68.25,0.9665,1.0,1.0,0.866,1.0,True
60.25,-67.75,0.877,0.9175,1.0,0.673,1.0,True
60.25,-67.25,0.83275,0.876,0.4,0.579,1.0,True
60.25,-66.75,0.8395,0.931,0.8,0.5,0.996,True
60.25,-66.25,0.6427499999999999,0.6615,0.8,0.252,0.996,True
60.25,-65.75,0.72725,0.7085,0.4,0.504,0.988,True
60.25,-65.25,0.8022499999999999,0.8525,0.4,0.504,1.0,True
60.25,-64.75,0.759,0.9844999999999999,1.0,0.067,1.0,True
60.25,-64.25,0.7235,0.8425,0.2,0.209,1.0,True
60.25,-63.75,0.511,0.52,0.0,0.004,1.0,True
60.25,-63.25,0.48924999999999996,0.47850000000000004,0.0,0.0,1.0,True
60.25,-62.75,0.446,0.392,0.0,0.0,1.0,True
60.25,-62.25,0.48024999999999995,0.4565,0.0,0.008,1.0,True
60.25,-61.75,0.59425,0.5705,0.2,0.236,1.0,True
59.75,-80.25,0.42525,0.34450000000000003,0.2,0.012,1.0,True
59.75,-79.75,0.5984999999999999,0.5435,0.4,0.307,1.0,True
59.75,-79.25,0.306,0.0925,0.0,0.043,0.996,True
59.75,-78.75,0.30025,0.1065,0.0,0.0,0.988,True
59.75,-78.25,0.40950000000000003,0.319,0.0,0.0,1.0,True
59.75,-77.75,0.34349999999999997,0.248,0.0,0.0,0.878,True
59.75,-77.25,0.36924999999999997,0.4115,0.0,0.0,0.654,True
59.75,-76.75,0.55625,0.4295,0.2,0.366,1.0,True
59.75,-76.25,0.55025,0.5985,0.0,0.004,1.0,True
59.75,-75.75,0.56,0.634,0.0,0.0,0.972,True
59.75,-75.25,0.5345,0.569,0.0,0.0,1.0,True
59.75,-74.75,0.5,0.5,0.0,0.0,1.0,True
59.75,-74.25,0.47825,0.47050000000000003,0.0,0.0,0.972,True
59.75,-73.75,0.622,0.742,1.0,0.004,1.0,True
59.75,-73.25,0.5985,0.6595,1.0,0.075,1.0,True
59.75,-72.75,0.55025,0.5925,0.0,0.016,1.0,True
59.75,-72.25,0.55225,0.567,0.0,0.075,1.0,True
59.75,-71.75,0.5954999999999999,0.6555,0.0,0.071,1.0,True
59.75,-71.25,0.8475,1.0,1.0,0.39,1.0,True
59.75,-70.75,0.97925,1.0,1.0,0.917,1.0,True
59.75,-70.25,0.999,1.0,1.0,0.996,1.0,True
59.75,-69.75,0.98525,1.0,1.0,0.941,1.0,True
59.75,-69.25,0.92025,0.9645,1.0,0.752,1.0,True
59.75,-68.75,0.8029999999999999,0.864,1.0,0.484,1.0,True
59.75,-68.25,0.875,0.874,0.8,0.752,1.0,True
59.75,-67.75,0.6032500000000001,0.7065,0.6000000000000001,0.0,1.0,True
59.75,-67.25,0.6005,0.7010000000000001,0.6000000000000001,0.0,1.0,True
59.75,-66.75,0.47350000000000003,0.4585,0.0,0.071,0.906,True
59.75,-66.25,0.8947499999999999,0.937,0.8,0.705,1.0,True
59.75,-65.75,0.855,0.8500000000000001,0.6000000000000001,0.736,0.984,True
59.75,-65.25,0.929,0.929,0.8,0.858,1.0,True
59.75,-64.75,0.8425,0.937,0.8,0.496,1.0,True
59.75,-64.25,0.8069999999999999,1.0,1.0,0.228,1.0,True
59.75,-63.75,0.8907499999999999,0.9115,0.8,0.74,1.0,True
59.75,-63.25,0.6655,0.827,0.0,0.008,1.0,True
59.75,-62.75,0.6054999999999999,0.573,0.2,0.276,1.0,True
59.75,-62.25,0.5945,0.64,0.0,0.098,1.0,True
59.75,-61.75,0.4745,0.449,0.0,0.0,1.0,True
59.75,-61.25,0.6595,0.8015,0.0,0.035,1.0,True
59.25,-80.25,0.298,0.291,0.0,0.067,0.543,True
59.25,-79.75,0.2275,0.191,0.0,0.004,0.524,True
59.25,-79.25,0.30624999999999997,0.1205,0.0,0.0,0.984,True
59.25,-78.75,0.33875,0.27949999999999997,0.2,0.028,0.768,True
59.25,-78.25,0.42225,0.394,0.0,0.039,0.862,True
59.25,-77.75,0.4245,0.4925,0.4,0.0,0.713,True
59.25,-77.25,0.45375,0.39749999999999996,0.0,0.02,1.0,True
59.25,-76.75,0.55325,0.5335,0.2,0.319,0.827,True
59.25,-76.25,0.933,1.0,1.0,0.732,1.0,True
59.25,-75.75,0.88875,1.0,1.0,0.555,1.0,True
59.25,-75.25,0.749,0.7204999999999999,0.4,0.555,1.0,True
59.25,-74.75,0.551,0.614,0.6000000000000001,0.051,0.925,True
59.25,-74.25,0.81,0.9625,1.0,0.315,1.0,True
59.25,-73.75,0.7264999999999999,0.9115,1.0,0.083,1.0,True
59.25,-73.25,0.503,0.504,0.0,0.004,1.0,True
59.25,-72.75,0.756,0.9784999999999999,1.0,0.067,1.0,True
59.25,-72.25,0.9635,0.986,0.8,0.882,1.0,True
59.25,-71.75,0.91925,0.945,0.8,0.787,1.0,True
59.25,-71.25,0.9664999999999999,0.9724999999999999,0.8,0.921,1.0,True
59.25,-70.75,0.998,1.0,1.0,0.992,1.0,True
59.25,-70.25,0.996,1.0,1.0,0.984,1.0,True
59.25,-69.75,0.873,0.998,1.0,0.496,1.0,True
59.25,-69.25,0.75875,0.8975,1.0,0.24,1.0,True
59.25,-68.75,0.84925,0.994,1.0,0.409,1.0,True
59.25,-68.25,0.9339999999999999,0.992,1.0,0.752,1.0,True
59.25,-67.75,0.7344999999999999,0.7404999999999999,0.6000000000000001,0.457,1.0,True
59.25,-67.25,0.5925,0.687,0.6000000000000001,0.0,0.996,True
59.25,-66.75,0.64675,0.7935,0.0,0.0,1.0,True
59.25,-66.25,0.6232500000000001,0.644,0.2,0.205,1.0,True
59.25,-65.75,0.78625,0.8975,0.8,0.362,0.988,True
59.25,-65.25,0.754,0.8565,1.0,0.303,1.0,True
59.25,-64.75,0.92725,0.9450000000000001,0.8,0.819,1.0,True
59.25,-64.25,0.7737499999999999,0.9784999999999999,1.0,0.138,1.0,True
59.25,-63.75,0.82275,0.988,1.0,0.315,1.0,True
59.25,-63.25,0.8425,1.0,1.0,0.37,1.0,True
59.25,-62.75,0.6032500000000001,0.685,0.0,0.043,1.0,True
59.25,-62.25,0.46675,0.4335,0.0,0.0,1.0,True
59.25,-61.75,0.44,0.38,0.0,0.0,1.0,True
59.25,-61.25,0.47925000000000006,0.4585,0.0,0.0,1.0,True
59.25,-60.75,0.5455,0.589,0.0,0.004,1.0,True
59.25,-60.25,0.5992500000000001,0.5255000000000001,0.2,0.346,1.0,True
58.75,-89.25,0.74725,0.9824999999999999,1.0,0.024,1.0,True
58.75,-88.75,0.70075,0.76,1.0,0.283,1.0,True
58.75,-88.25,0.746,0.992,1.0,0.0,1.0,True
58.75,-80.25,0.27049999999999996,0.177,0.0,0.0,0.728,True
58.75,-79.75,0.36524999999999996,0.2895,0.0,0.0,0.882,True
58.75,-79.25,0.444,0.376,0.0,0.075,0.949,True
58.75,-78.75,0.41924999999999996,0.518,0.4,0.039,0.602,True
58.75,-78.25,0.45275000000000004,0.41950000000000004,0.2,0.232,0.74,True
58.75,-77.75,0.56575,0.5509999999999999,0.0,0.161,1.0,True
58.75,-77.25,0.46950000000000003,0.378,0.0,0.122,1.0,True
58.75,-76.75,0.5257499999999999,0.48050000000000004,0.0,0.142,1.0,True
58.75,-76.25,0.5197499999999999,0.5549999999999999,0.0,0.004,0.965,True
58.75,-75.75,0.6015,0.7030000000000001,0.6000000000000001,0.0,1.0,True
58.75,-75.25,0.47650000000000003,0.439,0.0,0.028,1.0,True
58.75,-74.75,0.5255000000000001,0.47250000000000003,0.4,0.157,1.0,True
58.75,-74.25,0.60625,0.7045,0.0,0.016,1.0,True
58.75,-73.75,0.75,1.0,1.0,0.0,1.0,True
58.75,-73.25,0.7195,0.9390000000000001,1.0,0.0,1.0,True
58.75,-72.75,0.7745,0.9645,1.0,0.169,1.0,True
58.75,-72.25,0.73625,0.9724999999999999,1.0,0.0,1.0,True
58.75,-71.75,0.5945,0.687,1.0,0.004,1.0,True
58.75,-71.25,0.749,0.992,1.0,0.012,1.0,True
