lat,lon,cloud_cover
13.5,-130.5,0.77
14.5,-130.5,0.79
15.5,-130.5,0.82
16.5,-130.5,0.84
17.5,-130.5,0.84
18.5,-130.5,0.91
19.5,-130.5,0.88
20.5,-130.5,0.87
21.5,-130.5,0.79
22.5,-130.5,0.76
23.5,-130.5,0.73
24.5,-130.5,0.8
25.5,-130.5,0.75
26.5,-130.5,0.7
27.5,-130.5,0.68
28.5,-130.5,0.73
29.5,-130.5,0.78
30.5,-130.5,0.82
31.5,-130.5,0.84
32.5,-130.5,0.83
33.5,-130.5,0.85
34.5,-130.5,0.81
35.5,-130.5,0.79
36.5,-130.5,0.79
37.5,-130.5,0.7
38.5,-130.5,0.7
39.5,-130.5,0.66
40.5,-130.5,0.66
41.5,-130.5,0.74
42.5,-130.5,0.72
43.5,-130.5,0.71
44.5,-130.5,0.72
45.5,-130.5,0.81
46.5,-130.5,0.79
47.5,-130.5,0.83
48.5,-130.5,0.8
49.5,-130.5,0.81
50.5,-130.5,0.83
13.5,-129.5,0.76
14.5,-129.5,0.84
15.5,-129.5,0.75
16.5,-129.5,0.82
17.5,-129.5,0.86
18.5,-129.5,0.89
19.5,-129.5,0.9
20.5,-129.5,0.85
21.5,-129.5,0.78
22.5,-129.5,0.74
23.5,-129.5,0.8
24.5,-129.5,0.73
25.5,-129.5,0.76
26.5,-129.5,0.73
27.5,-129.5,0.7
28.5,-129.5,0.68
29.5,-129.5,0.76
30.5,-129.5,0.81
31.5,-129.5,0.79
32.5,-129.5,0.79
33.5,-129.5,0.77
34.5,-129.5,0.8
35.5,-129.5,0.82
36.5,-129.5,0.81
37.5,-129.5,0.71
38.5,-129.5,0.71
39.5,-129.5,0.7
40.5,-129.5,0.71
41.5,-129.5,0.75
42.5,-129.5,0.73
43.5,-129.5,0.74
44.5,-129.5,0.76
45.5,-129.5,0.83
46.5,-129.5,0.8
47.5,-129.5,0.77
48.5,-129.5,0.82
49.5,-129.5,0.84
50.5,-129.5,0.84
13.5,-128.5,0.78
14.5,-128.5,0.82
15.5,-128.5,0.8
16.5,-128.5,0.8
17.5,-128.5,0.86
18.5,-128.5,0.94
19.5,-128.5,0.93
20.5,-128.5,0.89
21.5,-128.5,0.88
22.5,-128.5,0.8
23.5,-128.5,0.81
24.5,-128.5,0.72
25.5,-128.5,0.72
26.5,-128.5,0.74
27.5,-128.5,0.72
28.5,-128.5,0.73
29.5,-128.5,0.77
30.5,-128.5,0.78
31.5,-128.5,0.79
32.5,-128.5,0.81
33.5,-128.5,0.73
34.5,-128.5,0.74
35.5,-128.5,0.76
36.5,-128.5,0.75
37.5,-128.5,0.72
38.5,-128.5,0.64
39.5,-128.5,0.69
40.5,-128.5,0.71
41.5,-128.5,0.76
42.5,-128.5,0.75
43.5,-128.5,0.75
44.5,-128.5,0.79
45.5,-128.5,0.85
46.5,-128.5,0.83
47.5,-128.5,0.77
48.5,-128.5,0.83
49.5,-128.5,0.84
50.5,-128.5,0.81
13.5,-127.5,0.79
14.5,-127.5,0.78
15.5,-127.5,0.81
16.5,-127.5,0.81
17.5,-127.5,0.83
18.5,-127.5,0.92
19.5,-127.5,0.98
20.5,-127.5,0.91
21.5,-127.5,0.91
22.5,-127.5,0.82
23.5,-127.5,0.83
24.5,-127.5,0.82
25.5,-127.5,0.76
26.5,-127.5,0.76
27.5,-127.5,0.77
28.5,-127.5,0.8
29.5,-127.5,0.8
30.5,-127.5,0.78
31.5,-127.5,0.77
32.5,-127.5,0.82
33.5,-127.5,0.8
34.5,-127.5,0.74
35.5,-127.5,0.68
36.5,-127.5,0.72
37.5,-127.5,0.75
38.5,-127.5,0.69
39.5,-127.5,0.69
40.5,-127.5,0.69
41.5,-127.5,0.73
42.5,-127.5,0.76
43.5,-127.5,0.77
44.5,-127.5,0.82
45.5,-127.5,0.87
46.5,-127.5,0.82
47.5,-127.5,0.79
48.5,-127.5,0.78
49.5,-127.5,0.79
50.5,-127.5,0.8
13.5,-126.5,0.8
14.5,-126.5,0.75
15.5,-126.5,0.73
16.5,-126.5,0.84
17.5,-126.5,0.89
18.5,-126.5,0.93
19.5,-126.5,0.97
20.5,-126.5,0.97
21.5,-126.5,0.9
22.5,-126.5,0.79
23.5,-126.5,0.85
24.5,-126.5,0.83
25.5,-126.5,0.74
26.5,-126.5,0.79
27.5,-126.5,0.77
28.5,-126.5,0.82
29.5,-126.5,0.75
30.5,-126.5,0.72
31.5,-126.5,0.73
32.5,-126.5,0.73
33.5,-126.5,0.69
34.5,-126.5,0.72
35.5,-126.5,0.69
36.5,-126.5,0.66
37.5,-126.5,0.71
38.5,-126.5,0.66
39.5,-126.5,0.64
40.5,-126.5,0.71
41.5,-126.5,0.73
42.5,-126.5,0.79
43.5,-126.5,0.76
44.5,-126.5,0.75
45.5,-126.5,0.76
46.5,-126.5,0.79
47.5,-126.5,0.79
48.5,-126.5,0.82
49.5,-126.5,0.76
50.5,-126.5,0.78
13.5,-125.5,0.8
14.5,-125.5,0.76
15.5,-125.5,0.76
16.5,-125.5,0.84
17.5,-125.5,0.92
18.5,-125.5,0.91
19.5,-125.5,0.97
20.5,-125.5,0.95
21.5,-125.5,0.88
22.5,-125.5,0.82
23.5,-125.5,0.86
24.5,-125.5,0.83
25.5,-125.5,0.74
26.5,-125.5,0.77
27.5,-125.5,0.75
28.5,-125.5,0.78
29.5,-125.5,0.73
30.5,-125.5,0.7
31.5,-125.5,0.7
32.5,-125.5,0.68
33.5,-125.5,0.7
34.5,-125.5,0.71
35.5,-125.5,0.7
36.5,-125.5,0.65
37.5,-125.5,0.71
38.5,-125.5,0.64
39.5,-125.5,0.65
40.5,-125.5,0.73
41.5,-125.5,0.74
42.5,-125.5,0.79
43.5,-125.5,0.73
44.5,-125.5,0.73
45.5,-125.5,0.76
46.5,-125.5,0.78
47.5,-125.5,0.79
48.5,-125.5,0.77
49.5,-125.5,0.73
50.5,-125.5,0.75
13.5,-124.5,0.84
14.5,-124.5,0.75
15.5,-124.5,0.78
16.5,-124.5,0.83
17.5,-124.5,0.91
18.5,-124.5,0.95
19.5,-124.5,0.92
20.5,-124.5,0.93
