lat,lon,cloud_cover
51.00,-129.00,0.83
51.00,-128.00,0.87
51.00,-127.00,0.89
51.00,-126.00,0.82
51.00,-125.00,0.85
51.00,-124.00,0.80
51.00,-123.00,0.89
51.00,-122.00,0.81
51.00,-121.00,0.88
51.00,-120.00,0.93
51.00,-119.00,0.88
51.00,-118.00,0.88
51.00,-117.00,0.86
51.00,-116.00,0.85
51.00,-115.00,0.86
51.00,-114.00,0.80
51.00,-113.00,0.76
51.00,-112.00,0.76
51.00,-111.00,0.71
51.00,-110.00,0.60
51.00,-109.00,0.64
51.00,-108.00,0.66
51.00,-107.00,0.63
51.00,-106.00,0.66
51.00,-105.00,0.70
51.00,-104.00,0.73
51.00,-103.00,0.71
51.00,-102.00,0.74
51.00,-101.00,0.77
51.00,-100.00,0.68
51.00,-99.00,0.67
51.00,-98.00,0.56
51.00,-97.00,0.75
51.00,-96.00,0.71
51.00,-95.00,0.79
51.00,-94.00,0.69
51.00,-93.00,0.69
51.00,-92.00,0.71
51.00,-91.00,0.70
51.00,-90.00,0.79
51.00,-89.00,0.77
51.00,-88.00,0.71
51.00,-87.00,0.67
51.00,-86.00,0.65
51.00,-85.00,0.58
51.00,-84.00,0.61
51.00,-83.00,0.56
51.00,-82.00,0.64
51.00,-81.00,0.60
51.00,-80.00,0.65
51.00,-79.00,0.63
51.00,-78.00,0.68
51.00,-77.00,0.65
51.00,-76.00,0.63
51.00,-75.00,0.68
51.00,-74.00,0.62
51.00,-73.00,0.62
51.00,-72.00,0.74
51.00,-71.00,0.66
51.00,-70.00,0.79
51.00,-69.00,0.72
51.00,-68.00,0.80
51.00,-67.00,0.80
51.00,-66.00,0.81
51.00,-65.00,0.72
51.00,-64.00,0.77
51.00,-63.00,0.79
51.00,-62.00,0.74
51.00,-61.00,0.76
51.00,-60.00,0.77
51.00,-59.00,0.82
51.00,-58.00,0.81
51.00,-57.00,0.81
51.00,-56.00,0.78
51.00,-55.00,0.74
51.00,-54.00,0.77
51.00,-53.00,0.84
51.00,-52.00,0.78
