lat,lon,cloud_cover
13.50,-130.50,0.98
13.50,-129.50,0.99
13.50,-128.50,0.95
13.50,-127.50,0.94
13.50,-126.50,0.95
13.50,-125.50,0.96
13.50,-124.50,0.98
13.50,-123.50,0.98
13.50,-122.50,0.96
13.50,-121.50,0.94
13.50,-120.50,0.91
13.50,-119.50,0.92
13.50,-118.50,0.88
13.50,-117.50,0.84
13.50,-116.50,0.82
13.50,-115.50,0.61
13.50,-114.50,0.70
13.50,-113.50,0.70
13.50,-112.50,0.65
13.50,-111.50,0.66
13.50,-110.50,0.65
13.50,-109.50,0.52
13.50,-108.50,0.45
13.50,-107.50,0.41
13.50,-106.50,0.50
13.50,-105.50,0.42
13.50,-104.50,0.27
13.50,-103.50,0.34
13.50,-102.50,0.44
13.50,-101.50,0.28
13.50,-100.50,0.36
13.50,-99.50,0.24
13.50,-98.50,0.25
13.50,-97.50,0.27
13.50,-96.50,0.29
13.50,-95.50,0.31
13.50,-94.50,0.42
13.50,-93.50,0.24
13.50,-92.50,0.43
13.50,-91.50,0.53
13.50,-90.50,0.39
13.50,-89.50,0.41
13.50,-88.50,0.34
13.50,-87.50,0.29
13.50,-86.50,0.55
13.50,-85.50,0.84
13.50,-84.50,0.96
13.50,-83.50,0.69
13.50,-82.50,0.62
13.50,-81.50,0.69
13.50,-80.50,0.57
13.50,-79.50,0.51
13.50,-78.50,0.80
13.50,-77.50,0.84
13.50,-76.50,0.95
13.50,-75.50,0.84
13.50,-74.50,0.80
13.50,-73.50,0.66
13.50,-72.50,0.74
13.50,-71.50,0.82
13.50,-70.50,0.87
13.50,-69.50,0.85
13.50,-68.50,0.81
13.50,-67.50,0.88
13.50,-66.50,0.71
13.50,-65.50,0.57
13.50,-64.50,0.78
13.50,-63.50,0.60
13.50,-62.50,0.58
13.50,-61.50,0.64
14.50,-130.50,0.92
14.50,-129.50,0.98
14.50,-128.50,0.97
14.50,-127.50,0.90
14.50,-126.50,0.87
14.50,-125.50,0.94
14.50,-124.50,0.95
14.50,-123.50,0.99
14.50,-122.50,0.97
14.50,-121.50,0.92
14.50,-120.50,0.94
14.50,-119.50,0.95
14.50,-118.50,0.87
14.50,-117.50,0.73
14.50,-116.50,0.87
14.50,-115.50,0.87
14.50,-114.50,0.77
14.50,-113.50,0.69
14.50,-112.50,0.81
14.50,-111.50,0.56
14.50,-110.50,0.77
14.50,-109.50,0.69
14.50,-108.50,0.52
14.50,-107.50,0.45
14.50,-106.50,0.36
14.50,-105.50,0.41
14.50,-104.50,0.33
14.50,-103.50,0.16
14.50,-102.50,0.20
14.50,-101.50,0.28
14.50,-100.50,0.16
14.50,-99.50,0.18
14.50,-98.50,0.15
14.50,-97.50,0.15
14.50,-96.50,0.27
14.50,-95.50,0.22
14.50,-94.50,0.45
14.50,-93.50,0.67
14.50,-92.50,0.52
14.50,-91.50,0.51
14.50,-90.50,0.57
14.50,-89.50,0.55
14.50,-88.50,0.44
14.50,-87.50,0.43
14.50,-86.50,0.76
14.50,-85.50,0.82
14.50,-84.50,0.78
14.50,-83.50,0.64
14.50,-82.50,0.53
14.50,-81.50,0.73
14.50,-80.50,0.64
14.50,-79.50,0.64
14.50,-78.50,0.56
14.50,-77.50,0.61
14.50,-76.50,0.77
14.50,-75.50,0.68
14.50,-74.50,0.56
14.50,-73.50,0.54
14.50,-72.50,0.80
14.50,-71.50,0.77
14.50,-70.50,0.68
14.50,-69.50,0.72
14.50,-68.50,0.67
14.50,-67.50,0.67
14.50,-66.50,0.58
14.50,-65.50,0.47
14.50,-64.50,0.67
14.50,-63.50,0.61
14.50,-62.50,0.68
14.50,-61.50,0.56
15.50,-130.50,0.92
15.50,-129.50,0.86
15.50,-128.50,1.00
15.50,-127.50,0.95
15.50,-126.50,0.86
15.50,-125.50,0.86
15.50,-124.50,0.91
15.50,-123.50,0.99
15.50,-122.50,0.98
15.50,-121.50,0.98
15.50,-120.50,0.97
15.50,-119.50,0.94
15.50,-118.50,0.90
15.50,-117.50,0.87
15.50,-116.50,0.83
15.50,-115.50,0.97
15.50,-114.50,0.92
15.50,-113.50,0.80
15.50,-112.50,0.79
15.50,-111.50,0.72
15.50,-110.50,0.72
15.50,-109.50,0.66
15.50,-108.50,0.59
15.50,-107.50,0.28
15.50,-106.50,0.44
15.50,-105.50,0.33
15.50,-104.50,0.30
15.50,-103.50,0.18
15.50,-102.50,0.17
15.50,-101.50,0.13
15.50,-100.50,0.32
15.50,-99.50,0.23
15.50,-98.50,0.13
15.50,-97.50,0.14
15.50,-96.50,0.14
15.50,-95.50,0.24
15.50,-94.50,0.22
15.50,-93.50,0.29
15.50,-92.50,0.44
15.50,-91.50,0.23
15.50,-90.50,0.74
15.50,-89.50,0.75
15.50,-88.50,0.57
15.50,-87.50,0.41
15.50,-86.50,0.41
15.50,-85.50,0.51
15.50,-84.50,0.72
15.50,-83.50,0.47
15.50,-82.50,0.59
