latitude,longitude,cloud_cover
64.25,-78.75,0.843
64.25,-78.25,0.496
64.25,-77.75,0.965
64.25,-77.25,0.823
64.25,-76.75,0.52
64.25,-76.25,0.571
64.25,-75.75,0.736
64.25,-75.25,0.52
64.25,-74.75,0.476
64.25,-74.25,0.787
64.25,-73.75,0.5
64.25,-73.25,0.5
64.25,-72.75,0.5
63.75,-79.25,0.949
63.75,-78.75,0.815
63.75,-78.25,1.0
63.75,-77.75,1.0
63.75,-77.25,1.0
63.75,-76.75,1.0
63.75,-76.25,1.0
63.75,-75.75,1.0
63.75,-75.25,1.0
63.75,-74.75,1.0
63.75,-74.25,1.0
63.75,-73.75,0.925
63.75,-73.25,0.661
63.75,-72.75,0.98
63.75,-72.25,1.0
63.75,-71.75,1.0
63.25,-79.75,0.937
63.25,-79.25,1.0
63.25,-78.75,1.0
63.25,-78.25,1.0
63.25,-77.75,1.0
63.25,-77.25,1.0
63.25,-76.75,1.0
63.25,-76.25,1.0
63.25,-75.75,1.0
63.25,-75.25,1.0
63.25,-74.75,1.0
63.25,-74.25,1.0
63.25,-73.75,1.0
63.25,-73.25,1.0
63.25,-72.75,1.0
63.25,-72.25,1.0
63.25,-71.75,1.0
63.25,-71.25,0.969
63.25,-70.75,1.0
62.75,-79.75,1.0
62.75,-79.25,1.0
62.75,-78.75,1.0
62.75,-78.25,1.0
62.75,-77.75,1.0
62.75,-77.25,1.0
62.75,-76.75,1.0
62.75,-76.25,1.0
62.75,-75.75,0.992
62.75,-75.25,0.732
62.75,-74.75,0.74
62.75,-74.25,0.961
62.75,-73.75,0.791
62.75,-73.25,0.988
62.75,-72.75,0.795
62.75,-72.25,0.622
62.75,-71.75,0.78
62.75,-71.25,1.0
62.75,-70.75,0.795
62.75,-70.25,0.795
62.75,-69.75,0.862
62.75,-69.25,0.583
62.75,-68.75,0.606
62.25,-79.75,1.0
62.25,-79.25,1.0
62.25,-78.75,1.0
62.25,-78.25,1.0
62.25,-77.75,0.882
62.25,-77.25,1.0
62.25,-76.75,0.996
62.25,-76.25,0.98
62.25,-75.75,1.0
62.25,-75.25,0.787
62.25,-74.75,1.0
62.25,-74.25,0.878
62.25,-73.75,0.811
62.25,-73.25,0.539
62.25,-72.75,0.307
62.25,-72.25,0.181
62.25,-71.75,0.138
62.25,-71.25,0.189
62.25,-70.75,0.417
62.25,-70.25,0.5
62.25,-69.75,0.98
62.25,-69.25,0.74
62.25,-68.75,0.0
62.25,-68.25,0.0
62.25,-67.75,0.122
62.25,-67.25,0.287
62.25,-65.75,0.843
62.25,-65.25,0.996
62.25,-64.75,0.614
62.25,-64.25,0.087
62.25,-63.75,0.012
61.75,-79.75,1.0
61.75,-79.25,1.0
61.75,-78.75,1.0
61.75,-78.25,1.0
61.75,-77.75,1.0
61.75,-77.25,1.0
61.75,-76.75,0.988
61.75,-76.25,0.933
61.75,-75.75,1.0
61.75,-75.25,1.0
61.75,-74.75,1.0
61.75,-74.25,1.0
61.75,-73.75,0.583
61.75,-73.25,0.937
61.75,-72.75,0.945
61.75,-72.25,0.594
61.75,-71.75,0.0
61.75,-71.25,0.0
61.75,-70.75,0.185
61.75,-70.25,0.866
61.75,-69.75,0.969
61.75,-69.25,1.0
61.75,-68.75,1.0
61.75,-68.25,0.677
61.75,-67.75,0.996
61.75,-67.25,0.417
61.75,-66.75,0.567
61.75,-66.25,0.283
61.75,-65.75,0.102
61.75,-65.25,0.11
61.75,-64.75,0.256
61.75,-64.25,0.008
61.75,-63.75,0.004
61.75,-63.25,0.02
61.25,-79.75,1.0
61.25,-79.25,1.0
61.25,-78.75,1.0
61.25,-78.25,1.0
61.25,-77.75,1.0
61.25,-77.25,1.0
61.25,-76.75,1.0
61.25,-76.25,1.0
61.25,-75.75,1.0
61.25,-75.25,1.0
61.25,-74.75,1.0
61.25,-74.25,0.843
61.25,-73.75,0.957
61.25,-73.25,0.76
61.25,-72.75,0.626
61.25,-72.25,0.705
61.25,-71.75,0.425
61.25,-71.25,0.228
61.25,-70.75,0.012
61.25,-70.25,0.0
61.25,-69.75,0.004
61.25,-69.25,0.0
61.25,-68.75,0.815
61.25,-68.25,0.941
61.25,-67.75,0.886
61.25,-67.25,0.764
61.25,-66.75,0.988
61.25,-66.25,0.945
61.25,-65.75,0.996
61.25,-65.25,0.677
61.25,-64.75,0.591
61.25,-64.25,0.807
61.25,-63.75,1.0
61.25,-63.25,0.992
61.25,-62.75,0.866
60.75,-79.75,1.0
60.75,-79.25,1.0
60.75,-78.75,1.0
60.75,-78.25,1.0
60.75,-77.75,1.0
60.75,-77.25,1.0
60.75,-76.75,1.0
60.75,-76.25,1.0
60.75,-75.75,1.0
60.75,-75.25,1.0
60.75,-74.75,1.0
60.75,-74.25,1.0
60.75,-73.75,1.0
60.75,-73.25,0.85
60.75,-72.75,0.571
60.75,-72.25,0.161
60.75,-71.75,0.157
60.75,-71.25,0.421
60.75,-70.75,0.524
60.75,-70.25,0.461
60.75,-69.75,0.335
60.75,-69.25,0.0
60.75,-68.75,0.012
60.75,-68.25,0.012
60.75,-67.75,0.051
60.75,-67.25,0.583
60.75,-66.75,0.63
60.75,-66.25,0.732
60.75,-65.75,0.909
60.75,-65.25,0.882
60.75,-64.75,0.949
60.75,-64.25,0.52
60.75,-63.75,0.941
60.75,-63.25,1.0
60.75,-62.75,1.0
60.75,-62.25,0.929
60.25,-79.75,1.0
60.25,-79.25,1.0
60.25,-78.75,1.0
60.25,-78.25,1.0
60.25,-77.75,1.0
60.25,-77.25,1.0
60.25,-76.75,1.0
60.25,-76.25,1.0
60.25,-75.75,1.0
60.25,-75.25,0.949
60.25,-74.75,0.594
60.25,-74.25,0.5
60.25,-73.75,0.5
60.25,-73.25,0.744
60.25,-72.75,1.0
60.25,-72.25,0.728
60.25,-71.75,0.335
60.25,-71.25,0.528
60.25,-70.75,0.587
60.25,-70.25,0.37
60.25,-69.75,0.228
60.25,-69.25,0.016
60.25,-68.75,0.0
60.25,-68.25,0.008
60.25,-67.75,0.094
60.25,-67.25,0.382
60.25,-66.75,1.0
60.25,-66.25,0.988
60.25,-65.75,1.0
60.25,-65.25,1.0
60.25,-64.75,1.0
60.25,-64.25,0.622
60.25,-63.75,0.386
60.25,-63.25,0.417
60.25,-62.75,0.886
60.25,-62.25,1.0
60.25,-61.75,0.992
59.75,-80.25,0.992
59.75,-79.75,1.0
59.75,-79.25,1.0
59.75,-78.75,1.0
59.75,-78.25,1.0
59.75,-77.75,1.0
59.75,-77.25,1.0
59.75,-76.75,1.0
59.75,-76.25,1.0
59.75,-75.75,1.0
59.75,-75.25,0.921
59.75,-74.75,0.685
59.75,-74.25,0.504
59.75,-73.75,0.472
59.75,-73.25,0.524
59.75,-72.75,0.5
59.75,-72.25,0.52
59.75,-71.75,0.358
59.75,-71.25,0.453
59.75,-70.75,0.378
59.75,-70.25,0.307
59.75,-69.75,0.248
59.75,-69.25,0.043
59.75,-68.75,0.0
59.75,-68.25,0.063
59.75,-67.75,0.205
59.75,-67.25,0.39
59.75,-66.75,0.323
59.75,-66.25,0.484
59.75,-65.75,0.988
59.75,-65.25,0.319
59.75,-64.75,0.197
59.75,-64.25,0.583
59.75,-63.75,0.764
59.75,-63.25,0.398
59.75,-62.75,0.091
59.75,-62.25,0.894
59.75,-61.75,1.0
59.75,-61.25,1.0
59.25,-80.25,0.634
59.25,-79.75,0.079
59.25,-79.25,0.972
59.25,-78.75,1.0
59.25,-78.25,0.445
59.25,-77.75,1.0
59.25,-77.25,0.969
59.25,-76.75,1.0
59.25,-76.25,1.0
59.25,-75.75,1.0
59.25,-75.25,1.0
59.25,-74.75,0.606
59.25,-74.25,0.827
59.25,-73.75,0.673
