latitude,longitude,mean_cloud_cover,median_cloud_cover,mode_cloud_cover,min_cloud_cover,max_cloud_cover,inside_us
64.25,-78.75,0.57075,0.697,0.0,0.0,1.0,True
64.25,-78.25,0.6700999999999999,0.7324999999999999,0.4,0.012,1.0,True
64.25,-77.75,0.7049000000000001,0.872,0.8,0.0,1.0,True
64.25,-77.25,0.6053499999999999,0.6970000000000001,0.8,0.039,1.0,True
64.25,-76.75,0.5409499999999999,0.5609999999999999,0.0,0.004,1.0,True
64.25,-76.25,0.5489999999999999,0.496,0.8,0.0,1.0,True
64.25,-75.75,0.5784000000000001,0.5555,0.2,0.047,1.0,True
64.25,-75.25,0.58325,0.5315000000000001,0.4,0.035,1.0,True
64.25,-74.75,0.6052000000000001,0.52,0.4,0.118,1.0,True
64.25,-74.25,0.6224000000000001,0.567,0.4,0.126,1.0,True
64.25,-73.75,0.5978,0.571,0.4,0.0,1.0,True
64.25,-73.25,0.66835,0.817,1.0,0.0,1.0,True
64.25,-72.75,0.6519999999999999,0.8009999999999999,0.8,0.0,1.0,True
63.75,-79.25,0.57585,0.701,0.0,0.0,1.0,True
63.75,-78.75,0.56975,0.7130000000000001,0.8,0.0,1.0,True
63.75,-78.25,0.6829000000000001,0.7875,1.0,0.0,1.0,True
63.75,-77.75,0.7537,0.9644999999999999,0.8,0.0,1.0,True
63.75,-77.25,0.68255,0.776,1.0,0.0,1.0,True
63.75,-76.75,0.7294,0.819,1.0,0.012,1.0,True
63.75,-76.25,0.78255,0.931,0.8,0.102,1.0,True
63.75,-75.75,0.7814499999999999,0.919,0.8,0.063,1.0,True
63.75,-75.25,0.7433500000000001,0.955,1.0,0.055,1.0,True
63.75,-74.75,0.70075,0.683,1.0,0.122,1.0,True
63.75,-74.25,0.6997000000000001,0.8109999999999999,1.0,0.024,1.0,True
63.75,-73.75,0.68715,0.8445,0.8,0.0,1.0,True
63.75,-73.25,0.7051000000000001,0.858,0.8,0.004,1.0,True
63.75,-72.75,0.69135,0.827,0.8,0.0,1.0,True
63.75,-72.25,0.6427999999999999,0.795,1.0,0.0,1.0,True
63.75,-71.75,0.5939,0.746,0.0,0.0,1.0,True
63.25,-79.75,0.6096,0.75,0.6000000000000001,0.0,1.0,True
63.25,-79.25,0.5992,0.6435,0.8,0.0,1.0,True
63.25,-78.75,0.6406999999999999,0.685,1.0,0.0,1.0,True
63.25,-78.25,0.7374,0.8935,0.8,0.0,1.0,True
63.25,-77.75,0.77115,0.913,0.8,0.0,1.0,True
63.25,-77.25,0.7394999999999999,0.8325,0.8,0.0,1.0,True
63.25,-76.75,0.8509,0.98,0.8,0.0,1.0,True
63.25,-76.25,0.8238,0.848,0.8,0.0,1.0,True
63.25,-75.75,0.79385,0.9470000000000001,0.8,0.0,1.0,True
63.25,-75.25,0.75685,0.86,1.0,0.0,1.0,True
63.25,-74.75,0.7125999999999999,0.752,0.6000000000000001,0.0,1.0,True
