latitude,longitude,mean_cloud_cover,median_cloud_cover,mode_cloud_cover,min_cloud_cover,max_cloud_cover,inside_us
64.25,-78.75,0.6910000000000001,0.774,0.8,0.232,0.984,True
64.25,-78.25,0.74725,0.7464999999999999,0.4,0.496,1.0,True
64.25,-77.75,0.889,0.9824999999999999,1.0,0.591,1.0,True
64.25,-77.25,0.882,0.9075,0.8,0.717,0.996,True
64.25,-76.75,0.6565,0.5609999999999999,0.4,0.52,0.984,True
64.25,-76.25,0.689,0.762,0.8,0.256,0.976,True
64.25,-75.75,0.6985,0.7635000000000001,0.6000000000000001,0.287,0.98,True
64.25,-75.25,0.7185,0.754,0.8,0.374,0.992,True
64.25,-74.75,0.69675,0.73,0.2,0.327,1.0,True
64.25,-74.25,0.73125,0.8855,0.0,0.154,1.0,True
64.25,-73.75,0.67625,0.7264999999999999,0.2,0.252,1.0,True
64.25,-73.25,0.69,0.75,1.0,0.26,1.0,True
64.25,-72.75,0.687,0.75,1.0,0.248,1.0,True
63.75,-79.25,0.83175,0.9410000000000001,0.8,0.445,1.0,True
63.75,-78.75,0.7845,0.8525,0.8,0.461,0.972,True
63.75,-78.25,0.84175,0.9215,1.0,0.524,1.0,True
63.75,-77.75,0.873,0.9095,1.0,0.673,1.0,True
63.75,-77.25,0.83675,0.886,1.0,0.575,1.0,True
63.75,-76.75,0.879,0.9175,1.0,0.681,1.0,True
63.75,-76.25,0.945,0.9724999999999999,0.8,0.835,1.0,True
63.75,-75.75,0.92625,0.996,1.0,0.713,1.0,True
63.75,-75.25,0.8099999999999999,0.9744999999999999,1.0,0.291,1.0,True
63.75,-74.75,0.7805,1.0,1.0,0.122,1.0,True
63.75,-74.25,0.756,1.0,1.0,0.024,1.0,True
63.75,-73.75,0.73125,0.9625,1.0,0.0,1.0,True
63.75,-73.25,0.66625,0.8305,1.0,0.004,1.0,True
63.75,-72.75,0.7617499999999999,0.99,1.0,0.067,1.0,True
63.75,-72.25,0.8495,1.0,1.0,0.398,1.0,True
63.75,-71.75,0.9165,0.9490000000000001,1.0,0.768,1.0,True
63.25,-79.75,0.7085,0.7555000000000001,0.6000000000000001,0.386,0.937,True
